network,scenario_id,true_source,horizon_h,n_total_nodes,rank_true_source,reciprocal_rank,specificity_pct,top1_source,top1_correct,top5_contains_true,posterior_true_source,nll_true_source,posterior_entropy,top1_top2_margin,candidate_set_size,sensor_design,sensor_count
Net3,28,143,1,97,92,0.010869565217391304,5.154639175257736,10,0,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92,103;117;119;187;217,5
Net3,28,143,2,97,92,0.010869565217391304,5.154639175257736,10,0,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92,103;117;119;187;217,5
Net3,28,143,4,97,74,0.013513513513513514,23.71134020618557,120,0,0,0.013279750642524735,4.321514912028456,4.30114190908438,0.0010008548136452057,74,103;117;119;187;217,5
Net3,28,143,8,97,71,0.014084507042253521,26.80412371134021,120,0,0,0.013665276905450465,4.29289719596179,4.254249438238745,0.0037967082421697176,71,103;117;119;187;217,5
Net3,28,143,16,97,44,0.022727272727272728,54.639175257731964,120,0,0,0.017823707759285774,4.027225811282485,3.6784822871206604,0.015403491570856187,8,103;117;119;187;217,5
Net3,28,143,24,97,44,0.022727272727272728,54.639175257731964,125,0,0,0.0011854039986171636,6.73767163539439,1.5438496152774077,0.015884129375829503,3,103;117;119;187;217,5
Net3,29,145,1,97,92,0.010869565217391304,5.154639175257736,10,0,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92,103;117;119;187;217,5
Net3,29,145,2,97,92,0.010869565217391304,5.154639175257736,10,0,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92,103;117;119;187;217,5
Net3,29,145,4,97,74,0.013513513513513514,23.71134020618557,120,0,0,0.013279750642524735,4.321514912028456,4.30114190908438,0.0010008548136452057,74,103;117;119;187;217,5
Net3,29,145,8,97,71,0.014084507042253521,26.80412371134021,120,0,0,0.013665276905450465,4.29289719596179,4.254249438238745,0.0037967082421697176,71,103;117;119;187;217,5
Net3,29,145,16,97,44,0.022727272727272728,54.639175257731964,120,0,0,0.017823707759285774,4.027225811282485,3.6784822871206604,0.015403491570856187,8,103;117;119;187;217,5
