network,scenario_id,true_source,horizon_h,method,n_total_nodes,sensor_design,sensor_count,n_ge_true_source,n_gt_true_source,specificity_pct,in_tied_argmax,top1_correct,posterior_true_source,nll_true_source,posterior_entropy,top1_top2_margin,candidate_set_size_q25
Net3,12,107,16,contaminant_status,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,1.0,-0.0,-0.0,1.0,1
Net3,12,107,24,probability_based,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,0.9999999999994302,5.697664562377927e-13,1.681140813150114e-11,0.9999999999988995,1
Net3,12,107,24,contaminant_status,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,1.0,-0.0,-0.0,1.0,1
Net3,13,109,1,probability_based,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,13,109,1,contaminant_status,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,13,109,2,probability_based,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,13,109,2,contaminant_status,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,13,109,4,probability_based,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,0.9043923032010279,0.10049204900703042,0.40250625068700996,0.8591726880409762,1
Net3,13,109,4,contaminant_status,97,103;117;119;187;217,5,3,0,96.90721649484536,1,1,0.3333333333333333,1.0986122886681098,1.0986122886681096,0.0,3
Net3,13,109,8,probability_based,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,0.9914027662503686,0.008634403153067861,0.05888336768050236,0.9880310695315822,1
Net3,13,109,8,contaminant_status,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,1.0,-0.0,-0.0,1.0,1
Net3,13,109,16,probability_based,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,0.9968378356867029,0.0031671745197211455,0.0228248625978173,0.9940765120421416,1
Net3,13,109,16,contaminant_status,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,1.0,-0.0,-0.0,1.0,1
Net3,13,109,24,probability_based,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,0.999811615556522,0.0001884021900561114,0.001804176729950596,0.9996232335802515,1
Net3,13,109,24,contaminant_status,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,1.0,-0.0,-0.0,1.0,1
Net3,14,111,1,probability_based,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,14,111,1,contaminant_status,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,14,111,2,probability_based,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
