network,scenario_id,true_source,horizon_h,method,n_total_nodes,sensor_design,sensor_count,n_ge_true_source,n_gt_true_source,specificity_pct,in_tied_argmax,top1_correct,posterior_true_source,nll_true_source,posterior_entropy,top1_top2_margin,candidate_set_size_q25
Net3,10,103,16,probability_based,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,0.9999999998790721,1.20927934340138e-10,2.883842613408644e-09,0.999999999758335,1
Net3,10,103,16,contaminant_status,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,1.0,-0.0,-0.0,1.0,1
Net3,10,103,24,probability_based,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,1.0,-0.0,3.1754243502549837e-15,0.9999999999999999,1
Net3,10,103,24,contaminant_status,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,1.0,-0.0,-0.0,1.0,1
Net3,11,105,1,probability_based,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,11,105,1,contaminant_status,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,11,105,2,probability_based,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,11,105,2,contaminant_status,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,11,105,4,probability_based,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,0.9944828060629911,0.005532469864222602,0.038011145665779504,0.9915830165716297,1
Net3,11,105,4,contaminant_status,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,1.0,-0.0,-0.0,1.0,1
Net3,11,105,8,probability_based,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,0.9999995041059064,4.958942165217238e-07,7.69533188741367e-06,0.9999990082707017,1
Net3,11,105,8,contaminant_status,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,1.0,-0.0,-0.0,1.0,1
Net3,11,105,16,probability_based,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,0.999999359124672,6.408755333891593e-07,9.780833423558425e-06,0.9999987183294433,1
Net3,11,105,16,contaminant_status,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,1.0,-0.0,-0.0,1.0,1
Net3,11,105,24,probability_based,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,0.9999999983980009,1.6019990902236317e-09,3.404583671655434e-08,0.9999999967960117,1
Net3,11,105,24,contaminant_status,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,1.0,-0.0,-0.0,1.0,1
Net3,12,107,1,probability_based,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,12,107,1,contaminant_status,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,12,107,2,probability_based,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,12,107,2,contaminant_status,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,12,107,4,probability_based,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,0.984273703621596,0.015851266520571755,0.13959146484959775,0.9815471836669646,1
Net3,12,107,4,contaminant_status,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,1.0,-0.0,-0.0,1.0,1
Net3,12,107,8,probability_based,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,0.9999999653496939,3.465030666918375e-08,6.57586268134066e-07,0.9999999480366765,1
Net3,12,107,8,contaminant_status,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,1.0,-0.0,-0.0,1.0,1
Net3,12,107,16,probability_based,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,0.9999999999990128,9.872103134971765e-13,2.971136781052837e-11,0.999999999998726,1
