condition,target,true,pred,n
drop_TS1,valve,73,80,6
drop_TS1,valve,73,90,0
drop_TS1,valve,73,100,0
drop_TS1,valve,80,73,6
drop_TS1,valve,80,80,73
drop_TS1,valve,80,90,11
drop_TS1,valve,80,100,0
drop_TS1,valve,90,73,3
drop_TS1,valve,90,80,22
drop_TS1,valve,90,90,31
drop_TS1,valve,90,100,34
drop_TS1,valve,100,73,2
drop_TS1,valve,100,80,11
drop_TS1,valve,100,90,26
drop_TS1,valve,100,100,51
drop_TS1,pump,0,0,119
drop_TS1,pump,0,1,1
drop_TS1,pump,0,2,0
drop_TS1,pump,1,0,0
drop_TS1,pump,1,1,120
drop_TS1,pump,1,2,0
drop_TS1,pump,2,0,0
drop_TS1,pump,2,1,0
drop_TS1,pump,2,2,120
drop_TS2,valve,73,73,84
drop_TS2,valve,73,80,6
drop_TS2,valve,73,90,0
drop_TS2,valve,73,100,0
drop_TS2,valve,80,73,10
drop_TS2,valve,80,80,69
drop_TS2,valve,80,90,11
drop_TS2,valve,80,100,0
drop_TS2,valve,90,73,2
drop_TS2,valve,90,80,22
drop_TS2,valve,90,90,31
drop_TS2,valve,90,100,35
drop_TS2,valve,100,73,2
drop_TS2,valve,100,80,13
drop_TS2,valve,100,90,25
drop_TS2,valve,100,100,50
drop_TS2,pump,0,0,119
drop_TS2,pump,0,1,0
drop_TS2,pump,0,2,1
drop_TS2,pump,1,0,0
drop_TS2,pump,1,1,119
drop_TS2,pump,1,2,1
drop_TS2,pump,2,0,0
drop_TS2,pump,2,1,0
drop_TS2,pump,2,2,120
drop_TS3,valve,73,73,83
drop_TS3,valve,73,80,7
drop_TS3,valve,73,90,0
drop_TS3,valve,73,100,0
drop_TS3,valve,80,73,8
drop_TS3,valve,80,80,70
drop_TS3,valve,80,90,12
drop_TS3,valve,80,100,0
drop_TS3,valve,90,73,2
drop_TS3,valve,90,80,22
drop_TS3,valve,90,90,31
drop_TS3,valve,90,100,35
drop_TS3,valve,100,73,2
drop_TS3,valve,100,80,11
drop_TS3,valve,100,90,25
drop_TS3,valve,100,100,52
drop_TS3,pump,0,0,119
drop_TS3,pump,0,1,0
drop_TS3,pump,0,2,1
drop_TS3,pump,1,0,0
drop_TS3,pump,1,1,120
drop_TS3,pump,1,2,0
drop_TS3,pump,2,0,0
drop_TS3,pump,2,1,0
drop_TS3,pump,2,2,120
drop_TS4,valve,73,73,81
drop_TS4,valve,73,80,9
drop_TS4,valve,73,90,0
drop_TS4,valve,73,100,0
drop_TS4,valve,80,73,9
drop_TS4,valve,80,80,70
drop_TS4,valve,80,90,11
drop_TS4,valve,80,100,0
drop_TS4,valve,90,73,3
drop_TS4,valve,90,80,20
drop_TS4,valve,90,90,32
drop_TS4,valve,90,100,35
drop_TS4,valve,100,73,2
drop_TS4,valve,100,80,12
drop_TS4,valve,100,90,25
drop_TS4,valve,100,100,51
drop_TS4,pump,0,0,119
drop_TS4,pump,0,1,1
drop_TS4,pump,0,2,0
drop_TS4,pump,1,0,0
drop_TS4,pump,1,1,120
drop_TS4,pump,1,2,0
drop_TS4,pump,2,0,0
drop_TS4,pump,2,1,0
drop_TS4,pump,2,2,120
drop_VS1,valve,73,73,83
drop_VS1,valve,73,80,7
drop_VS1,valve,73,90,0
drop_VS1,valve,73,100,0
drop_VS1,valve,80,73,10
drop_VS1,valve,80,80,69
drop_VS1,valve,80,90,11
drop_VS1,valve,80,100,0
drop_VS1,valve,90,73,3
drop_VS1,valve,90,80,21
drop_VS1,valve,90,90,31
drop_VS1,valve,90,100,35
drop_VS1,valve,100,73,2
drop_VS1,valve,100,80,13
drop_VS1,valve,100,90,27
drop_VS1,valve,100,100,48
drop_VS1,pump,0,0,119
drop_VS1,pump,0,1,1
drop_VS1,pump,0,2,0
drop_VS1,pump,1,0,0
drop_VS1,pump,1,1,120
drop_VS1,pump,1,2,0
drop_VS1,pump,2,0,0
drop_VS1,pump,2,1,0
drop_VS1,pump,2,2,120
drop_SE,valve,73,73,74
drop_SE,valve,73,80,16
drop_SE,valve,73,90,0
drop_SE,valve,73,100,0
drop_SE,valve,80,73,12
drop_SE,valve,80,80,65
drop_SE,valve,80,90,13
drop_SE,valve,80,100,0
drop_SE,valve,90,73,3
drop_SE,valve,90,80,38
drop_SE,valve,90,90,15
drop_SE,valve,90,100,34
drop_SE,valve,100,73,1
drop_SE,valve,100,80,17
drop_SE,valve,100,90,21
drop_SE,valve,100,100,51
drop_SE,pump,0,0,119
drop_SE,pump,0,1,1
drop_SE,pump,0,2,0
drop_SE,pump,1,0,0
drop_SE,pump,1,1,120
drop_SE,pump,1,2,0
drop_SE,pump,2,0,0
drop_SE,pump,2,1,0
drop_SE,pump,2,2,120
drop_CE,valve,73,73,82
drop_CE,valve,73,80,8
drop_CE,valve,73,90,0
drop_CE,valve,73,100,0
drop_CE,valve,80,73,12
drop_CE,valve,80,80,67
drop_CE,valve,80,90,11
drop_CE,valve,80,100,0
drop_CE,valve,90,73,3
drop_CE,valve,90,80,22
drop_CE,valve,90,90,31
drop_CE,valve,90,100,34
drop_CE,valve,100,73,2
drop_CE,valve,100,80,12
drop_CE,valve,100,90,25
drop_CE,valve,100,100,51
drop_CE,pump,0,0,119
drop_CE,pump,0,1,1
drop_CE,pump,0,2,0
drop_CE,pump,1,0,0
drop_CE,pump,1,1,120
drop_CE,pump,1,2,0
drop_CE,pump,2,0,0
drop_CE,pump,2,1,0
drop_CE,pump,2,2,120
drop_CP,valve,73,73,84
drop_CP,valve,73,80,6
drop_CP,valve,73,90,0
drop_CP,valve,73,100,0
drop_CP,valve,80,73,9
drop_CP,valve,80,80,70
drop_CP,valve,80,90,11
drop_CP,valve,80,100,0
drop_CP,valve,90,73,3
drop_CP,valve,90,80,21
drop_CP,valve,90,90,31
drop_CP,valve,90,100,35
drop_CP,valve,100,73,2
drop_CP,valve,100,80,15
drop_CP,valve,100,90,26
drop_CP,valve,100,100,47
drop_CP,pump,0,0,119
drop_CP,pump,0,1,0
drop_CP,pump,0,2,1
drop_CP,pump,1,0,0
drop_CP,pump,1,1,120
drop_CP,pump,1,2,0
drop_CP,pump,2,0,0
drop_CP,pump,2,1,0
