condition,family,target,split,n,n_sensors,balanced_accuracy,macro_f1,auroc_ovr_macro,log_loss,brier
drop_SE,drop_one,valve,valid,240,16,0.5708333333333333,0.5240529956801413,0.8147453703703704,0.9730582893545474,0.5476624666666667
drop_SE,drop_one,valve,test,360,16,0.5694444444444444,0.5490319855367286,0.8512551440329217,0.8774094102491762,0.5109959111111111
drop_SE,drop_one,pump,train,849,16,1.0,1.0,1.0,0.010841334013436609,0.0011662661955241461
drop_SE,drop_one,pump,valid,240,16,0.9833333333333334,0.9833297760507455,0.9998958333333333,0.11267053320667184,0.044178166666666664
drop_SE,drop_one,pump,test,360,16,0.9972222222222222,0.9972221739960764,1.0,0.06785816049334502,0.020604555555555553
drop_CE,drop_one,valve,train,849,16,1.0,1.0,1.0,0.055401260968771404,0.007583076560659601
drop_CE,drop_one,valve,valid,240,16,0.5791666666666666,0.5324374222508902,0.8109837962962962,0.9449646005510751,0.5406876666666667
drop_CE,drop_one,valve,test,360,16,0.6416666666666666,0.6297133258378977,0.8786162551440329,0.8058753407754251,0.46502857777777773
drop_CE,drop_one,pump,train,849,16,1.0,1.0,1.0,0.00674547468852094,0.0008621625441696114
drop_CE,drop_one,pump,valid,240,16,0.9958333333333332,0.9958331705665585,0.9999739583333334,0.08814488451060289,0.03418206666666666
drop_CE,drop_one,pump,test,360,16,0.9972222222222222,0.9972221739960764,1.0,0.05035379391088816,0.016390088888888887
drop_CP,drop_one,valve,train,849,16,1.0,1.0,1.0,0.05621475039646908,0.007790775029446409
drop_CP,drop_one,valve,valid,240,16,0.575,0.5313280838527059,0.8118518518518518,0.946584346446134,0.5407683333333334
drop_CP,drop_one,valve,test,360,16,0.6444444444444445,0.6314007548513512,0.8837962962962964,0.7971464950374225,0.4593254
drop_CP,drop_one,pump,train,849,16,1.0,1.0,1.0,0.006974784506001088,0.000927613663133098
drop_CP,drop_one,pump,valid,240,16,0.9958333333333332,0.9958331705665585,0.9999609375,0.08638960909499041,0.0328197
drop_CP,drop_one,pump,test,360,16,0.9972222222222222,0.9972221739960764,1.0,0.051213032829281184,0.016687044444444445
dropgroup_PRESSURE,drop_group,valve,train,849,11,1.0,1.0,1.0,0.09252038971553535,0.01649935453474676
dropgroup_PRESSURE,drop_group,valve,valid,240,11,0.42083333333333334,0.4133981452971328,0.5848958333333333,1.541124708474256,0.7851406666666667
dropgroup_PRESSURE,drop_group,valve,test,360,11,0.41111111111111115,0.3984003272113077,0.7050051440329219,1.251574505676451,0.7041347777777778
dropgroup_PRESSURE,drop_group,pump,train,849,11,1.0,1.0,1.0,0.007712254203907482,0.0010065865724381627
dropgroup_PRESSURE,drop_group,pump,valid,240,11,0.9916666666666667,0.991691901545151,0.9996354166666667,0.0920232432601838,0.0348009
dropgroup_PRESSURE,drop_group,pump,test,360,11,0.9916666666666667,0.9916889530749021,1.0,0.05947822255384073,0.022377622222222223
dropgroup_TEMPERATURE,drop_group,valve,train,849,13,1.0,1.0,1.0,0.057176920427894636,0.007914534746760895
dropgroup_TEMPERATURE,drop_group,valve,valid,240,13,0.5833333333333333,0.5367619333787185,0.8285185185185185,0.9176237432373925,0.5281998333333333
dropgroup_TEMPERATURE,drop_group,valve,test,360,13,0.6722222222222223,0.6634844693661598,0.9034979423868312,0.7404715594589031,0.4237895555555556
dropgroup_TEMPERATURE,drop_group,pump,train,849,13,1.0,1.0,1.0,0.006997395965424916,0.0009269634864546529
dropgroup_TEMPERATURE,drop_group,pump,valid,240,13,0.9958333333333332,0.9958331705665585,0.99953125,0.09188141910276273,0.035899400000000005
dropgroup_TEMPERATURE,drop_group,pump,test,360,13,0.9944444444444445,0.9944557787844209,1.0,0.05305580438945878,0.017441377777777777
dropgroup_FLOW,drop_group,valve,train,849,15,1.0,1.0,1.0,0.06111441098340793,0.008793413427561838
dropgroup_FLOW,drop_group,valve,valid,240,15,0.5791666666666666,0.5398592221426868,0.8036805555555555,0.9683765827317138,0.5556165
dropgroup_FLOW,drop_group,valve,test,360,15,0.5944444444444444,0.579790027713213,0.8516512345679013,0.881655892231166,0.5099144444444444
dropgroup_FLOW,drop_group,pump,train,849,15,1.0,1.0,1.0,0.009316439662778628,0.0011360848056537105
dropgroup_FLOW,drop_group,pump,valid,240,15,0.9874999999999999,0.987549185333446,0.99984375,0.10512992755288024,0.0449776
dropgroup_FLOW,drop_group,pump,test,360,15,0.9972222222222222,0.9972221739960764,1.0,0.07028908734270176,0.02378771111111111
dropgroup_OTHER,drop_group,valve,train,849,12,1.0,1.0,1.0,0.05565792867871724,0.007573851590106009
dropgroup_OTHER,drop_group,valve,valid,240,12,0.6,0.5513011485271959,0.8120138888888888,0.974062415571872,0.5457285
dropgroup_OTHER,drop_group,valve,test,360,12,0.5777777777777777,0.5642473644219248,0.8414917695473251,0.8989746635925251,0.5233686666666667
dropgroup_OTHER,drop_group,pump,train,849,12,1.0,1.0,1.0,0.01157412702541607,0.0011928857479387516
dropgroup_OTHER,drop_group,pump,valid,240,12,0.9958333333333332,0.9958331705665585,0.9998437500000001,0.0982615187054719,0.031978233333333335
dropgroup_OTHER,drop_group,pump,test,360,12,0.9972222222222222,0.9972221739960764,1.0,0.0704163134630978,0.019262200000000004
noise_x2,noise,valve,train,849,17,1.0,1.0,1.0,0.25129802111649346,0.07290702473498234
noise_x2,noise,valve,valid,240,17,0.1708333333333333,0.17252433786665144,0.34589120370370374,1.8078941729709705,0.914855
noise_x2,noise,valve,test,360,17,0.03888888888888889,0.039860762613509466,0.3042181069958848,1.937488680476822,0.9959342666666667
noise_x2,noise,pump,train,849,17,1.0,1.0,1.0,0.10581603713926091,0.024338892815076563
noise_x2,noise,pump,valid,240,17,0.8375,0.8375231123821393,0.9501041666666667,0.47683987227841257,0.26579083333333337
