dataset,model,score,auroc,auprc,aurc,auroc_calib
STEEL,M1_logreg,B6_conformal_aps,0.6605820649938297,0.36084387603535756,0.15319634070953425,0.7053016169154229
STEEL,M1_logreg,ISO_FIT,0.7265528589058001,0.488668659622087,0.13545435439997944,0.7090796019900497
STEEL,M1_logreg,ISO_RAW,0.7336144247908953,0.5030064037733629,0.1345620619968847,0.7116604477611941
STEEL,M1_logreg,ISO_FROZEN_ORACLE,0.8945221445221445,0.7636039070537824,0.06953253597681164,0.8881529850746268
STEEL,M1_logreg,COMBO_best_plus_iso,0.7757438639791581,0.559670486723433,0.11471719186382008,
STEEL,M2_rbf_svm,B1_max_prob,0.753083591094818,0.43315355647464016,0.09689732927244331,0.794783779236076
STEEL,M2_rbf_svm,B2_entropy,0.743345935005919,0.39580443641930113,0.09958557026918721,0.7983173481406697
STEEL,M2_rbf_svm,B3_margin,0.7508687516706762,0.41731274538884405,0.09752189636298694,0.7837455830388692
STEEL,M2_rbf_svm,B4_knn_dist,0.5819299652499331,0.247753779204812,0.15644550023035717,0.6540467777216894
STEEL,M2_rbf_svm,B5_mahalanobis,0.5186542941154008,0.21518459730411735,0.17640529359005738,0.5540972572774693
STEEL,M2_rbf_svm,B6_conformal_aps,0.5636193531141406,0.24601470056036587,0.161457549298597,0.6702843681642269
STEEL,M2_rbf_svm,ISO_FIT,0.7521671058158629,0.46547417130035407,0.10807832387875428,0.7242470132929497
STEEL,M2_rbf_svm,ISO_RAW,0.7543819452400046,0.463408608286019,0.10671535491940791,0.7212182399461552
STEEL,M2_rbf_svm,ISO_FROZEN_ORACLE,0.8878451139878566,0.7355520940955732,0.05681953532416333,0.8792529025744573
STEEL,M2_rbf_svm,COMBO_best_plus_iso,0.7529690304349487,0.42953842676202625,0.09762142533224502,
STEEL,M3_random_forest,B1_max_prob,0.8360349607269367,0.552961082457933,0.07023956202572636,0.8401903314517296
STEEL,M3_random_forest,B2_entropy,0.8128946557831511,0.48331039992093044,0.07599149130724221,0.8127080619481836
STEEL,M3_random_forest,B3_margin,0.8223278915755429,0.5235512911846876,0.07357424835562007,0.8362100159212621
STEEL,M3_random_forest,B4_knn_dist,0.6301016479285384,0.2871934106061149,0.1371930758528094,0.6496236792589376
STEEL,M3_random_forest,B5_mahalanobis,0.5512089943015556,0.2369391482312089,0.1675818701778985,0.5432045158488927
STEEL,M3_random_forest,B6_conformal_aps,0.6550900970275682,0.29286635010546724,0.1321164654285669,0.7164025184541902
STEEL,M3_random_forest,ISO_FIT,0.7330201755736947,0.43060925131966826,0.11040276706985462,0.7293023592415689
STEEL,M3_random_forest,ISO_RAW,0.73352071461574,0.4223109657280152,0.11117608423053787,0.7213779128672746
STEEL,M3_random_forest,ISO_FROZEN_ORACLE,0.8449484059756661,0.6568289022053615,0.07003301346114864,0.8218989723548994
STEEL,M3_random_forest,COMBO_best_plus_iso,0.8364392422608964,0.5611259858046463,0.0707796036121033,
STEEL,M4_hist_gradient_boosting,B1_max_prob,0.8033673343984269,0.5089509920706269,0.07286062532848492,0.8322676639723328
STEEL,M4_hist_gradient_boosting,B2_entropy,0.8050469050837737,0.4945042465905827,0.07244678057404767,0.8358869184059194
STEEL,M4_hist_gradient_boosting,B3_margin,0.802793822457089,0.5118123733848766,0.07302250829299166,0.8302971810029356
STEEL,M4_hist_gradient_boosting,B4_knn_dist,0.6172627094342714,0.24194074484913086,0.12741897953891665,0.6755137330598786
STEEL,M4_hist_gradient_boosting,B5_mahalanobis,0.5295973126869035,0.20040936258692035,0.1567829957228606,0.5742952507339044
STEEL,M4_hist_gradient_boosting,B6_conformal_aps,0.7970177379050428,0.4284539167243704,0.07398369642223705,0.8049422929987534
STEEL,M4_hist_gradient_boosting,ISO_FIT,0.7282372700831592,0.39972653677572706,0.10262224478675196,0.7062371818072144
