dataset,model,score,status,n_test,n_errors_test,test_accuracy,augrc,aurc,error_capture_5,residual_error_5,lift_5,error_capture_10,residual_error_10,lift_10,error_capture_20,residual_error_20,lift_20
adult,M4_rbf_svm,ISO_META,OK,9768,1497,0.8467444717444718,0.03709820916516248,0.05023798958726662,0.14562458249833,0.13783812910874016,2.9124916499666,0.28857715430861725,0.12114662723239678,2.885771543086172,0.5143620574482298,0.09303813667775787,2.571810287241149
agaricus_lepiota,M1_logreg,MCP_RISK,OK,1629,40,0.9754450583179864,0.0039052004396977593,0.005887765342658575,0.575,0.01098901098901099,11.499999999999998,0.8,0.005457025920873124,8.0,0.8,0.0061396776669224865,4.0
agaricus_lepiota,M1_logreg,ENTROPY_RISK,OK,1629,40,0.9754450583179864,0.0039052004396977593,0.005887765342658575,0.575,0.01098901098901099,11.499999999999998,0.8,0.005457025920873124,8.0,0.8,0.0061396776669224865,4.0
agaricus_lepiota,M1_logreg,MARGIN_RISK,OK,1629,40,0.9754450583179864,0.0039052004396977593,0.005887765342658575,0.575,0.01098901098901099,11.499999999999998,0.8,0.005457025920873124,8.0,0.8,0.0061396776669224865,4.0
agaricus_lepiota,M1_logreg,ISO_PRED,OK,1629,40,0.9754450583179864,0.012401451439738836,0.026316090721870324,0.15,0.02197802197802198,2.9999999999999996,0.25,0.020463847203274217,2.5,0.325,0.02072141212586339,1.625
agaricus_lepiota,M1_logreg,STANDARD_META,OK,1629,40,0.9754450583179864,0.0039052004396977593,0.005887765342658575,0.575,0.01098901098901099,11.499999999999998,0.8,0.005457025920873124,8.0,0.8,0.0061396776669224865,4.0
agaricus_lepiota,M1_logreg,ISO_META,OK,1629,40,0.9754450583179864,0.0013950643662801409,0.0014841695211472515,0.7,0.007756948933419522,13.999999999999998,0.8,0.005457025920873124,8.0,1.0,0.0,5.0
allhypo,M1_logreg,MCP_RISK,OK,754,47,0.9376657824933687,0.00803847209225422,0.009326236479454245,0.40425531914893614,0.03910614525139665,8.085106382978722,0.5957446808510638,0.028023598820058997,5.957446808510638,0.7446808510638298,0.01990049751243781,3.7234042553191484
allhypo,M1_logreg,ENTROPY_RISK,OK,754,47,0.9376657824933687,0.008170394500770428,0.009480006788975719,0.3191489361702128,0.0446927374301676,6.382978723404255,0.574468085106383,0.029498525073746312,5.74468085106383,0.7446808510638298,0.01990049751243781,3.7234042553191484
allhypo,M1_logreg,MARGIN_RISK,OK,754,47,0.9376657824933687,0.008131697260939005,0.009417899658136756,0.3829787234042553,0.040502793296089384,7.659574468085106,0.574468085106383,0.029498525073746312,5.74468085106383,0.7446808510638298,0.01990049751243781,3.7234042553191484
allhypo,M1_logreg,ISO_PRED,OK,754,47,0.9376657824933687,0.016585285198657557,0.022752026448195562,0.1702127659574468,0.05446927374301676,3.4042553191489358,0.2765957446808511,0.05014749262536873,2.7659574468085104,0.5106382978723404,0.03814262023217247,2.553191489361702
allhypo,M1_logreg,STANDARD_META,OK,754,47,0.9376657824933687,0.008138733122726538,0.009448954340052041,0.3404255319148936,0.04329608938547486,6.8085106382978715,0.574468085106383,0.029498525073746312,5.74468085106383,0.7446808510638298,0.01990049751243781,3.7234042553191484
allhypo,M1_logreg,ISO_META,OK,754,47,0.9376657824933687,0.009741150644836731,0.011984797685488723,0.3404255319148936,0.04329608938547486,6.8085106382978715,0.574468085106383,0.029498525073746312,5.74468085106383,0.723404255319149,0.02155887230514096,3.617021276595745
allhypo,M2_random_forest,MCP_RISK,OK,754,35,0.9535809018567639,0.002849524023950074,0.0029920506617721293,0.45714285714285713,0.02653631284916201,9.142857142857142,0.8857142857142857,0.0058997050147492625,8.857142857142856,1.0,0.0,5.0
allhypo,M2_random_forest,ENTROPY_RISK,OK,754,35,0.9535809018567639,0.0029321953999535627,0.003082382709118873,0.4,0.029329608938547486,8.0,0.8571428571428571,0.007374631268436578,8.571428571428571,1.0,0.0,5.0
allhypo,M2_random_forest,MARGIN_RISK,OK,754,35,0.9535809018567639,0.0028301754040343627,0.002967545393264515,0.45714285714285713,0.02653631284916201,9.142857142857142,0.8571428571428571,0.007374631268436578,8.571428571428571,1.0,0.0,5.0
allhypo,M2_random_forest,ISO_PRED,OK,754,35,0.9535809018567639,0.012685658802918474,0.01763736648441509,0.11428571428571428,0.04329608938547486,2.2857142857142856,0.2,0.04129793510324484,2.0,0.5142857142857142,0.028192371475953566,2.571428571428571
allhypo,M2_random_forest,STANDARD_META,OK,754,35,0.9535809018567639,0.002926918503612915,0.0030760610250610975,0.4,0.029329608938547486,8.0,0.8571428571428571,0.007374631268436578,8.571428571428571,1.0,0.0,5.0
allhypo,M2_random_forest,ISO_META,OK,754,35,0.9535809018567639,0.0024080236967825006,0.002528835622102357,0.6285714285714286,0.018156424581005588,12.571428571428571,0.8571428571428571,0.007374631268436578,8.571428571428571,1.0,0.0,5.0
allhypo,M4_rbf_svm,MCP_RISK,OK,754,46,0.9389920424403183,0.010390208894736472,0.0144673889997238,0.43478260869565216,0.036312849162011177,8.695652173913043,0.6086956521739131,0.02654867256637168,6.086956521739131,0.7391304347826086,0.01990049751243781,3.695652173913043
allhypo,M4_rbf_svm,ENTROPY_RISK,OK,754,46,0.9389920424403183,0.010462326478058665,0.01447500505690967,0.41304347826086957,0.03770949720670391,8.26086956521739,0.6086956521739131,0.02654867256637168,6.086956521739131,0.7391304347826086,0.01990049751243781,3.695652173913043
allhypo,M4_rbf_svm,MARGIN_RISK,OK,754,46,0.9389920424403183,0.010513336476018265,0.014884921269100564,0.4782608695652174,0.0335195530726257,9.565217391304348,0.5869565217391305,0.028023598820058997,5.869565217391305,0.7391304347826086,0.01990049751243781,3.695652173913043
