dataset,model,score,auroc,auprc,aurc,acc_at_cov_90,acc_at_cov_80,acc_at_cov_70
CREDIT,M1_logreg,PROB_BEST,0.6512600938539193,0.3298346495683439,0.1377182538793773,0.8394444444444444,0.8570833333333333,0.8685714285714285
CREDIT,M1_logreg,ISO_RAW,0.49520096013351583,0.18641409492543232,0.189064409082954,0.8098148148148148,0.803125,0.8023809523809524
CREDIT,M1_logreg,B1_max_prob,0.6512600938539193,0.3298346495683439,0.1377182538793773,0.8394444444444444,0.8570833333333333,0.8685714285714285
CREDIT,M1_logreg,B2_entropy,0.6512600938539193,0.3298346495683439,0.1377182538793773,0.8394444444444444,0.8570833333333333,0.8685714285714285
CREDIT,M1_logreg,B3_margin,0.6512600938539193,0.3298346495683439,0.1377182538793773,0.8394444444444444,0.8570833333333333,0.8685714285714285
CREDIT,M2_rbf_svm,META_BASE,0.6331068532744519,0.32305759571356474,0.1410433438195078,0.8435185185185186,0.8554166666666667,0.8626190476190476
CREDIT,M2_rbf_svm,META_ISO,0.6394228100372823,0.32391029661910814,0.13598506049220163,0.8438888888888889,0.853125,0.8588095238095238
CREDIT,M2_rbf_svm,PROB_BEST,0.6331068532744519,0.32305759571356474,0.1410433438195078,0.8435185185185186,0.8554166666666667,0.8626190476190476
CREDIT,M2_rbf_svm,ISO_RAW,0.47256729652951923,0.16842732347727313,0.18880281248992567,0.8122222222222222,0.805625,0.800952380952381
CREDIT,M2_rbf_svm,B1_max_prob,0.6331068532744519,0.32305759571356474,0.1410433438195078,0.8435185185185186,0.8554166666666667,0.8626190476190476
CREDIT,M2_rbf_svm,B2_entropy,0.6331068532744519,0.32305759571356474,0.1410433438195078,0.8435185185185186,0.8554166666666667,0.8626190476190476
CREDIT,M2_rbf_svm,B3_margin,0.6331068532744519,0.32305759571356474,0.1410433438195078,0.8435185185185186,0.8554166666666667,0.8626190476190476
CREDIT,M3_random_forest,META_BASE,0.7036809449059971,0.342191424954112,0.096481103854647,0.8477777777777777,0.864375,0.8788095238095238
CREDIT,M3_random_forest,META_ISO,0.7034727619818488,0.3392473226784412,0.09644975631585978,0.847962962962963,0.86375,0.8790476190476191
CREDIT,M3_random_forest,PROB_BEST,0.7036809449059971,0.342191424954112,0.096481103854647,0.8477777777777777,0.864375,0.8788095238095238
CREDIT,M3_random_forest,ISO_RAW,0.4682100725556043,0.16531799313885714,0.18843840445860682,0.8155555555555556,0.80875,0.804047619047619
CREDIT,M3_random_forest,B1_max_prob,0.7036809449059971,0.342191424954112,0.096481103854647,0.8477777777777777,0.864375,0.8788095238095238
CREDIT,M3_random_forest,B2_entropy,0.7036809449059971,0.342191424954112,0.096481103854647,0.8477777777777777,0.864375,0.8788095238095238
CREDIT,M3_random_forest,B3_margin,0.7036809449059971,0.342191424954112,0.096481103854647,0.8477777777777777,0.864375,0.8788095238095238
CREDIT,M4_hist_gradient_boosting,META_BASE,0.7040453523953263,0.339779787827705,0.09779759637609894,0.847962962962963,0.8660416666666666,0.88
CREDIT,M4_hist_gradient_boosting,META_ISO,0.704768695923569,0.34087846772530866,0.09673035925142258,0.8475925925925926,0.8658333333333333,0.8792857142857142
CREDIT,M4_hist_gradient_boosting,PROB_BEST,0.7040453523953263,0.339779787827705,0.09779759637609894,0.847962962962963,0.8660416666666666,0.88
CREDIT,M4_hist_gradient_boosting,ISO_RAW,0.46119623831210294,0.1613562160073304,0.18972139010585792,0.8146296296296296,0.808125,0.8016666666666666
CREDIT,M4_hist_gradient_boosting,B1_max_prob,0.7040453523953263,0.339779787827705,0.09779759637609894,0.847962962962963,0.8660416666666666,0.88
CREDIT,M4_hist_gradient_boosting,B2_entropy,0.7040453523953263,0.339779787827705,0.09779759637609894,0.847962962962963,0.8660416666666666,0.88
CREDIT,M4_hist_gradient_boosting,B3_margin,0.7040453523953263,0.339779787827705,0.09779759637609894,0.847962962962963,0.8660416666666666,0.88
DRYBEAN,M1_logreg,META_BASE,0.9084127919434326,0.4151813263438574,0.010866866497211372,0.9640669661086158,0.9816260909508499,0.989501312335958
DRYBEAN,M1_logreg,META_ISO,0.8975691787321314,0.37788226020525356,0.012223110852793128,0.9624336463862802,0.9802480477721636,0.9884514435695538
DRYBEAN,M1_logreg,PROB_BEST,0.9084127919434326,0.4151813263438574,0.010866866497211372,0.9640669661086158,0.9816260909508499,0.989501312335958
DRYBEAN,M1_logreg,ISO_RAW,0.8043615507055618,0.20409679067124312,0.02081794581983493,0.9383421804818293,0.9522278364722094,0.973753280839895
DRYBEAN,M1_logreg,B1_max_prob,0.9084127919434326,0.4151813263438574,0.010866866497211372,0.9640669661086158,0.9816260909508499,0.989501312335958
DRYBEAN,M1_logreg,B2_entropy,0.9030847286418318,0.4082460481166754,0.011295386662642246,0.958350347080441,0.981166743224621,0.9884514435695538
DRYBEAN,M1_logreg,B3_margin,0.9082635679084147,0.4133671065319288,0.010885280081947413,0.9636586361780318,0.9807073954983923,0.989501312335958
DRYBEAN,M2_rbf_svm,META_BASE,0.9121233546133212,0.3982066265830668,0.009804448133596433,0.9673336055532871,0.9857602204869086,0.9926509186351706
DRYBEAN,M2_rbf_svm,META_ISO,0.9034477739191915,0.37110635557878974,0.010345662618191595,0.9665169456921192,0.9848415250344511,0.9905511811023622
DRYBEAN,M2_rbf_svm,PROB_BEST,0.9121233546133212,0.3982066265830668,0.009804448133596433,0.9673336055532871,0.9857602204869086,0.9926509186351706
DRYBEAN,M2_rbf_svm,ISO_RAW,0.8114787165464036,0.18943066179290013,0.0181743242256681,0.9432421396488363,0.9600367478180983,0.9769028871391077
DRYBEAN,M2_rbf_svm,B1_max_prob,0.9120672087171703,0.4143971156332796,0.009785451973728872,0.9657002858309514,0.9866789159393661,0.9926509186351706
DRYBEAN,M2_rbf_svm,B2_entropy,0.9063652810414023,0.3747961175218164,0.010187230556391804,0.9657002858309514,0.9853008727606798,0.9926509186351706
DRYBEAN,M2_rbf_svm,B3_margin,0.9121233546133212,0.3982066265830668,0.009804448133596433,0.9673336055532871,0.9857602204869086,0.9926509186351706
DRYBEAN,M3_random_forest,META_BASE,0.9067915326346373,0.46979390271278115,0.011739350121244448,0.9624336463862802,0.9825447864033073,0.9910761154855643
DRYBEAN,M3_random_forest,META_ISO,0.9095980384244367,0.4501055705395825,0.010853979324655759,0.9636586361780318,0.9816260909508499,0.9910761154855643
DRYBEAN,M3_random_forest,PROB_BEST,0.9067915326346373,0.46979390271278115,0.011739350121244448,0.9624336463862802,0.9825447864033073,0.9910761154855643
DRYBEAN,M3_random_forest,ISO_RAW,0.8237771859230819,0.23893215629826303,0.01886189754434109,0.9420171498570845,0.9577400091869546,0.9742782152230971
DRYBEAN,M3_random_forest,B1_max_prob,0.9067915326346373,0.46979390271278115,0.011739350121244448,0.9624336463862802,0.9825447864033073,0.9910761154855643
DRYBEAN,M3_random_forest,B2_entropy,0.9018808681047967,0.41469595494849404,0.012124306517052383,0.9612086565945284,0.983004134129536,0.9905511811023622
DRYBEAN,M3_random_forest,B3_margin,0.9069856148563215,0.4252922428364899,0.011705416975627263,0.9636586361780318,0.9820854386770785,0.9910761154855643
DRYBEAN,M4_hist_gradient_boosting,META_BASE,0.9193840855758388,0.4763909465290353,0.010127600587559538,0.9640669661086158,0.9834634818557648,0.9942257217847769
DRYBEAN,M4_hist_gradient_boosting,META_ISO,0.9143213055801055,0.4246192405323619,0.01041698480432129,0.9640669661086158,0.983004134129536,0.9926509186351706
DRYBEAN,M4_hist_gradient_boosting,PROB_BEST,0.9193840855758388,0.4763909465290353,0.010127600587559538,0.9640669661086158,0.9834634818557648,0.9942257217847769
DRYBEAN,M4_hist_gradient_boosting,ISO_RAW,0.8246064821869381,0.22927189811995288,0.019029241830437017,0.9416088199265006,0.9591180523656407,0.9769028871391077
DRYBEAN,M4_hist_gradient_boosting,B1_max_prob,0.919574558863865,0.48539083706406155,0.010117987690626518,0.9640669661086158,0.9834634818557648,0.9942257217847769
DRYBEAN,M4_hist_gradient_boosting,B2_entropy,0.9193840855758388,0.4763909465290353,0.010127600587559538,0.9640669661086158,0.9834634818557648,0.9942257217847769
DRYBEAN,M4_hist_gradient_boosting,B3_margin,0.919159327095968,0.4795379243915148,0.010148514955835837,0.9640669661086158,0.983004134129536,0.9942257217847769
