design_id,design_size,b_star_equiv,q05,q10,minimum,mean,cvar05,cvar10,val_failure_rate,test_failure_rate
39,24,0.0,4.540252685546875,36.220550537109375,4.33349609375,496.8409935439032,4.39209710984003,15.61469721600292,0.24285714285714285,0.2507936507936508
40,16,0.0,35.446868896484375,40.840301513671875,24.700164794921875,494.31823049601627,31.379421173580106,34.72760704474721,0.20952380952380953,0.17142857142857143
41,16,0.0,4.540252685546875,27.440185546875,4.33349609375,386.7437301846958,4.39209710984003,11.800092991774644,0.3047619047619048,0.33015873015873015
42,16,0.0,18.466796875000004,26.000213623046875,12.999674479166668,378.780346877369,15.460418216765872,19.07145424494668,0.20952380952380953,0.22857142857142856
43,16,0.0,27.3797607421875,37.59963989257814,14.699554443359377,476.35720120082567,23.752267020089285,27.50969863519436,0.11904761904761904,0.13333333333333333
44,16,0.0,6.666666666666667,27.440185546875,6.333821614583334,363.49589184881705,6.550894474637681,12.82126946177909,0.3523809523809524,0.37142857142857144
45,16,0.0,29.639739990234375,39.379730224609375,22.299957275390625,437.2040071376247,27.157120477585565,30.417056199980944,0.09047619047619047,0.13333333333333333
46,16,0.0,21.84002685546875,37.59963989257814,12.666829427083334,445.15347236618976,17.603236607142858,22.86424218154535,0.12380952380952381,0.14285714285714285
47,16,0.0,35.120086669921875,40.57983398437501,24.700164794921875,475.95561219505305,31.285749162946427,34.51786320383956,0.14285714285714285,0.1365079365079365
48,16,0.0,4.5001220703125,26.8597412109375,4.199981689453125,311.35567876966763,4.3617975144159224,11.434136367425687,0.36666666666666664,0.3746031746031746
49,16,0.0,20.800354003906254,26.000213623046875,13.999837239583334,371.9553595361336,18.079504588293652,20.96036638532366,0.15714285714285714,0.1873015873015873
50,16,0.0,28.43963623046875,36.82037353515625,18.6669921875,400.26770349576793,24.452463785807293,28.378912452759785,0.2,0.2
51,16,0.0,23.466471354166668,37.59963989257814,13.999837239583334,461.88406387534025,18.798501150948663,23.512223406535824,0.19047619047619047,0.2253968253968254
52,16,0.0,26.000213623046875,29.00009155273437,14.699554443359377,475.43645657313584,23.93325593736437,25.499963911752854,0.18571428571428572,0.18412698412698414
53,16,0.0,27.3797607421875,37.59963989257814,14.699554443359377,556.0821340447436,23.83640592060392,27.42839782218623,0.18571428571428572,0.1873015873015873
54,16,0.0,26.000213623046875,29.00009155273437,14.699554443359377,475.4157970276128,23.93325593736437,25.499963911752854,0.19047619047619047,0.19365079365079366
55,16,0.0,26.000213623046875,29.00009155273437,14.699554443359377,475.83301994989057,23.87771394517687,25.468225630502854,0.1761904761904762,0.19047619047619047
56,16,0.0,31.139984130859375,39.379730224609375,23.600006103515625,566.9110639676294,28.185562860398065,31.268254722036968,0.17142857142857143,0.1619047619047619
57,16,0.0,24.2803955078125,29.900299072265625,16.2994384765625,329.65207946329656,21.0903567359561,24.102433367473324,0.08095238095238096,0.09523809523809523
58,16,0.0,37.40005493164063,42.2796630859375,30.199432373046875,575.5894906713211,34.463709050958805,37.024372379954265,0.1523809523809524,0.13333333333333333
59,16,0.0,3.400421142578125,30.55999755859375,3.200531005859375,480.53212297186195,3.326250159222147,13.570850651438644,0.2619047619047619,0.2698412698412698
60,10,0.0,6.666666666666667,24.200286865234375,6.333821614583334,463.96570642497744,6.550894474637681,12.666782286108994,0.30952380952380953,0.34285714285714286
61,10,0.0,6.666666666666667,11.599934895833336,6.333821614583334,347.72785065518036,6.550894474637681,8.130200393800814,0.38571428571428573,0.3968253968253968
62,10,0.0,20.800354003906254,26.000213623046875,13.999837239583334,371.7515790867688,18.079504588293652,20.96036638532366,0.19047619047619047,0.20634920634920634
63,10,0.0,21.84002685546875,34.306854248046875,12.999674479166668,457.9758344555446,17.61908637152778,22.722775839208587,0.14761904761904762,0.15873015873015872
