year,budget,n_designs,design_criterion,endpoint,spearman_rho,endpoint_std,endpoint_n_unique
2018,6,1000,A_optimal_rank_reduced,false_positives,0.5541862915834755,2.049700221983693,12
2018,6,1000,A_optimal_rank_reduced,delay_mean_h,-0.5565058621753798,69.11103688031467,999
2018,6,1000,A_optimal_rank_reduced,localisation_mean_m,0.18083155283155286,203.43821777379216,1000
2018,6,1000,A_optimal_rank_reduced,battledim_score_eur,0.1837841106425266,19184.598475660918,831
2018,6,1000,E_optimal_rank_reduced,recall,0.5236007805081165,0.071541303896877,6
2018,6,1000,E_optimal_rank_reduced,false_forgetting_rate,-0.5236007805081165,0.071541303896877,6
2018,6,1000,E_optimal_rank_reduced,false_positives,0.5502692849443163,2.049700221983693,12
2018,6,1000,E_optimal_rank_reduced,delay_mean_h,-0.5546564263203957,69.11103688031467,999
2018,6,1000,E_optimal_rank_reduced,localisation_mean_m,0.17636157236157238,203.43821777379216,1000
2018,6,1000,E_optimal_rank_reduced,battledim_score_eur,0.17339718082040437,19184.598475660918,831
2018,6,1000,goal_oriented_oed,recall,0.5810144936676918,0.071541303896877,6
2018,6,1000,goal_oriented_oed,false_forgetting_rate,-0.5810144936676918,0.071541303896877,6
2018,6,1000,goal_oriented_oed,false_positives,0.5281639940426872,2.049700221983693,12
2018,6,1000,goal_oriented_oed,delay_mean_h,-0.6377108458927965,69.11103688031467,999
2018,6,1000,goal_oriented_oed,localisation_mean_m,0.2897165830709211,203.43821777379216,1000
2018,6,1000,goal_oriented_oed,battledim_score_eur,0.28348060810957937,19184.598475660918,831
2018,6,1000,topological_spread,recall,0.13884468167225428,0.071541303896877,6
2018,6,1000,topological_spread,false_forgetting_rate,-0.13884468167225428,0.071541303896877,6
2018,6,1000,topological_spread,false_positives,0.23278658438742159,2.049700221983693,12
2018,6,1000,topological_spread,delay_mean_h,-0.15646435709799592,69.11103688031467,999
2018,6,1000,topological_spread,localisation_mean_m,-0.019632990990608095,203.43821777379216,1000
2018,6,1000,topological_spread,battledim_score_eur,0.05773345268771881,19184.598475660918,831
2018,6,1000,mean_betweenness,recall,-0.12308526348129308,0.071541303896877,6
2018,6,1000,mean_betweenness,false_forgetting_rate,0.12308526348129308,0.071541303896877,6
2018,6,1000,mean_betweenness,false_positives,0.02667469386764466,2.049700221983693,12
2018,6,1000,mean_betweenness,delay_mean_h,0.12895348534034579,69.11103688031467,999
2018,6,1000,mean_betweenness,localisation_mean_m,-0.05052393852393853,203.43821777379216,1000
2018,6,1000,mean_betweenness,battledim_score_eur,-0.207234365247124,19184.598475660918,831
2018,8,1000,B_blind_spot,recall,0.10742384330081199,0.0639189537857217,5
2018,8,1000,B_blind_spot,false_forgetting_rate,-0.10742384330081199,0.0639189537857217,5
2018,8,1000,B_blind_spot,false_positives,0.02508589644267958,1.9835362361197235,11
2018,8,1000,B_blind_spot,delay_mean_h,-0.13577439660093357,53.29491843808452,993
2018,8,1000,B_blind_spot,localisation_mean_m,0.10737326155632922,191.21409393366517,1000
2018,8,1000,B_blind_spot,battledim_score_eur,0.05323569353311941,20568.5311902947,901
2018,8,1000,visibility_p05,recall,-0.035893774621090835,0.0639189537857217,5
2018,8,1000,visibility_p05,false_forgetting_rate,0.035893774621090835,0.0639189537857217,5
2018,8,1000,visibility_p05,false_positives,-0.07351060938825345,1.9835362361197235,11
2018,8,1000,visibility_p05,delay_mean_h,0.11884011390085543,53.29491843808452,993
2018,8,1000,visibility_p05,localisation_mean_m,-0.16000802327380606,191.21409393366517,1000
2018,8,1000,visibility_p05,battledim_score_eur,-0.12163116347373397,20568.5311902947,901
2018,8,1000,visibility_mean,recall,0.392806656899446,0.0639189537857217,5
2018,8,1000,visibility_mean,false_forgetting_rate,-0.392806656899446,0.0639189537857217,5
2018,8,1000,visibility_mean,false_positives,0.5385345837636824,1.9835362361197235,11
2018,8,1000,visibility_mean,delay_mean_h,-0.5497749393202132,53.29491843808452,993
2018,8,1000,visibility_mean,localisation_mean_m,0.0806882966882967,191.21409393366517,1000
2018,8,1000,visibility_mean,battledim_score_eur,0.09740506767813786,20568.5311902947,901
2018,8,1000,D_optimal_bayesian,recall,0.5453142099374869,0.0639189537857217,5
2018,8,1000,D_optimal_bayesian,false_forgetting_rate,-0.5453142099374869,0.0639189537857217,5
2018,8,1000,D_optimal_bayesian,false_positives,0.519686886886047,1.9835362361197235,11
2018,8,1000,D_optimal_bayesian,delay_mean_h,-0.5357484609991789,53.29491843808452,993
2018,8,1000,D_optimal_bayesian,localisation_mean_m,0.11385886185886186,191.21409393366517,1000
2018,8,1000,D_optimal_bayesian,battledim_score_eur,0.35204313626984624,20568.5311902947,901
