year,budget,method,event,leak_type,diameter_m,failure,localisation_m,delay_h,fo_visibility_dS,fo_neg_visibility,snr,neg_snr,isolability_margin,neg_isolability_margin,smallest_sv,neg_smallest_sv
2019,12,A_optimal_bayesian,p762,incipient,0.01519,0,1062.39815,113.58333333333333,8.360221503336952,-8.360221503336952,0.007107652271536493,-0.007107652271536493,9.50533445398527e-06,-9.50533445398527e-06,2.1651371170347337e-07,-2.1651371170347337e-07
2019,12,A_optimal_bayesian,p426,abrupt,0.015008,0,1518.8321500000002,63.0,5.045639343646333,-5.045639343646333,0.00844494967727443,-0.00844494967727443,6.567293199322144e-05,-6.567293199322144e-05,3.15508291351264e-07,-3.15508291351264e-07
2019,12,A_optimal_bayesian,p879,incipient,0.013195,0,317.5642,115.0,6.242604254021873,-6.242604254021873,0.004047541709472795,-0.004047541709472795,0.00010140813989167885,-0.00010140813989167885,2.0754567511760127e-07,-2.0754567511760127e-07
2019,12,E_optimal_observable_subspace,p257,incipient,0.011843,0,2878.9772500000017,14.583333333333334,27.113118281151092,-27.113118281151092,0.017982844906343085,-0.017982844906343085,0.0055314740898426695,-0.0055314740898426695,1.5418337656654094e-07,-1.5418337656654094e-07
2019,12,E_optimal_observable_subspace,p427,incipient,0.0090731,0,1483.6390999999999,378.9166666666667,5.04771002466793,-5.04771002466793,0.008403064433309326,-0.008403064433309326,8.039975555718115e-05,-8.039975555718115e-05,1.332529370472354e-07,-1.332529370472354e-07
2019,12,E_optimal_observable_subspace,p810,incipient,0.010028,0,535.4985999999999,574.1666666666666,9.44115358585011,-9.44115358585011,0.006949753357579001,-0.006949753357579001,1.4104421349303564e-05,-1.4104421349303564e-05,2.0335901544341557e-07,-2.0335901544341557e-07
2019,12,E_optimal_observable_subspace,p654,incipient,0.0087735,0,981.1133499999997,773.4166666666666,7.506284102664712,-7.506284102664712,0.009150461179458936,-0.009150461179458936,0.0005654702003752288,-0.0005654702003752288,3.817433409882114e-07,-3.817433409882114e-07
2019,12,E_optimal_observable_subspace,p523,abrupt,0.020246,1,,,7.5862149299221135,-7.5862149299221135,0.005490043805423514,-0.005490043805423514,1.8334110814643978e-05,-1.8334110814643978e-05,6.581342620454527e-07,-6.581342620454527e-07
2019,12,E_optimal_observable_subspace,p827,abrupt,0.02025,1,,,8.938175374452902,-8.938175374452902,0.00673972376019086,-0.00673972376019086,1.1322385234269206e-05,-1.1322385234269206e-05,1.9713810613058857e-07,-1.9713810613058857e-07
2019,12,E_optimal_observable_subspace,p280,abrupt,0.0095008,0,1660.2894,159.66666666666666,31.48530195434981,-31.48530195434981,0.011012110844365099,-0.011012110844365099,0.00018695867076568007,-0.00018695867076568007,3.2513295662482447e-07,-3.2513295662482447e-07
2019,12,E_optimal_observable_subspace,p653,incipient,0.016035,0,1746.94615,60.416666666666664,7.06431047708378,-7.06431047708378,0.008846168274591528,-0.008846168274591528,8.91928392936503e-05,-8.91928392936503e-05,2.7510432375321746e-07,-2.7510432375321746e-07
2019,12,E_optimal_observable_subspace,p710,abrupt,0.0092936,0,2108.2984500000007,171.66666666666666,8.200041974011135,-8.200041974011135,0.008286494500339397,-0.008286494500339397,1.4386489822104664e-05,-1.4386489822104664e-05,2.3526571349713378e-07,-2.3526571349713378e-07
2019,12,E_optimal_observable_subspace,p514,abrupt,0.014979,0,235.8952,152.91666666666666,6.124548301875368,-6.124548301875368,0.00546418080785215,-0.00546418080785215,6.32219204226292e-05,-6.32219204226292e-05,2.6371795278950683e-07,-2.6371795278950683e-07
2019,12,E_optimal_observable_subspace,p331,abrupt,0.014053,0,1937.42305,123.16666666666667,9.634530047213056,-9.634530047213056,0.012749881031258506,-0.012749881031258506,1.1096216692152439e-06,-1.1096216692152439e-06,1.030956644526e-07,-1.030956644526e-07
2019,12,E_optimal_observable_subspace,p193,incipient,0.01239,0,639.39545,32.833333333333336,10.036762760152204,-10.036762760152204,0.006945597093060002,-0.006945597093060002,2.6425496935100767e-05,-2.6425496935100767e-05,2.8684912215690533e-07,-2.8684912215690533e-07
2019,12,E_optimal_observable_subspace,p277,incipient,0.012089,0,1158.3034999999998,144.25,24.449081227629247,-24.449081227629247,0.01381515926717651,-0.01381515926717651,3.559675181596944e-05,-3.559675181596944e-05,1.525885458598149e-07,-1.525885458598149e-07
2019,12,E_optimal_observable_subspace,p142,abrupt,0.019857,0,1303.6702000000002,12.75,5.8062647622881975,-5.8062647622881975,0.008179750944930748,-0.008179750944930748,2.2301131398450025e-05,-2.2301131398450025e-05,1.3045930252892406e-07,-1.3045930252892406e-07
2019,12,E_optimal_observable_subspace,p680,abrupt,0.0097197,0,1379.0107500000001,53.416666666666664,9.494245653696941,-9.494245653696941,0.012003311912792348,-0.012003311912792348,8.084333202873495e-11,-8.084333202873495e-11,2.0249057399327612e-07,-2.0249057399327612e-07
2019,12,E_optimal_observable_subspace,p586,incipient,0.017184,0,1319.5215500000002,15.583333333333334,7.675134167675357,-7.675134167675357,0.006853509347470027,-0.006853509347470027,0.00023955534595043737,-0.00023955534595043737,3.1209321706912007e-07,-3.1209321706912007e-07
2019,12,E_optimal_observable_subspace,p721,incipient,0.01408,0,558.57195,27.75,8.076623682600616,-8.076623682600616,0.008069745902638854,-0.008069745902638854,1.1314237955306616e-05,-1.1314237955306616e-05,2.73427308658422e-07,-2.73427308658422e-07
2019,12,E_optimal_observable_subspace,p800,incipient,0.018847,0,2448.95285,17.083333333333332,18.975905871165327,-18.975905871165327,0.007521230730694719,-0.007521230730694719,6.549759976604008e-07,-6.549759976604008e-07,4.5486219667453867e-07,-4.5486219667453867e-07
2019,12,E_optimal_observable_subspace,p123,incipient,0.011906,0,2009.1045000000004,31.416666666666668,4.787972963105701,-4.787972963105701,0.007707256249731101,-0.007707256249731101,5.89101804560066e-06,-5.89101804560066e-06,4.970621469687858e-07,-4.970621469687858e-07
