design_id,size,rep,split,n,n_fail,accuracy,auroc_fo_d_S,auprc_fo_d_S,auroc_entropy,auprc_entropy,auroc_top1_top2_margin,auprc_top1_top2_margin,auroc_snr_mean,auprc_snr_mean,auroc_count_above_3sigma,auprc_count_above_3sigma,auroc_smallest_singular_value,auprc_smallest_singular_value,auroc_design_size,auprc_design_size
15,41,15,val,210,14,0.9333333333333333,0.854774052478134,0.3334382110713554,0.9063411078717202,0.41002123064262086,0.8997813411078717,0.3593229419010937,0.8533163265306122,0.3198606673949443,0.8163265306122449,0.27664633542890504,0.8299927113702624,0.2971792178293639,0.5,0.06666666666666667
15,41,15,test,315,28,0.9111111111111111,0.8032603285216525,0.29712577645144467,0.8789198606271778,0.44907729856884887,0.9310602289696366,0.5783164306287991,0.7863364858138377,0.2644621372464442,0.7648705823792933,0.2473779219829253,0.770657043305127,0.2550482203609521,0.5,0.08888888888888889
16,41,16,val,210,14,0.9333333333333333,0.854774052478134,0.3334382110713554,0.9063411078717202,0.41002123064262086,0.8997813411078717,0.3593229419010937,0.8533163265306122,0.3198606673949443,0.8163265306122449,0.27664633542890504,0.8299927113702624,0.2971792178293639,0.5,0.06666666666666667
16,41,16,test,315,28,0.9111111111111111,0.8032603285216525,0.29712577645144467,0.8789198606271778,0.44907729856884887,0.9310602289696366,0.5783164306287991,0.7863364858138377,0.2644621372464442,0.7648705823792933,0.2473779219829253,0.770657043305127,0.2550482203609521,0.5,0.08888888888888889
17,41,17,val,210,14,0.9333333333333333,0.854774052478134,0.3334382110713554,0.9063411078717202,0.41002123064262086,0.8997813411078717,0.3593229419010937,0.8533163265306122,0.3198606673949443,0.8163265306122449,0.27664633542890504,0.8299927113702624,0.2971792178293639,0.5,0.06666666666666667
17,41,17,test,315,28,0.9111111111111111,0.8032603285216525,0.29712577645144467,0.8789198606271778,0.44907729856884887,0.9310602289696366,0.5783164306287991,0.7863364858138377,0.2644621372464442,0.7648705823792933,0.2473779219829253,0.770657043305127,0.2550482203609521,0.5,0.08888888888888889
18,41,18,val,210,14,0.9333333333333333,0.854774052478134,0.3334382110713554,0.9063411078717202,0.41002123064262086,0.8997813411078717,0.3593229419010937,0.8533163265306122,0.3198606673949443,0.8163265306122449,0.27664633542890504,0.8299927113702624,0.2971792178293639,0.5,0.06666666666666667
18,41,18,test,315,28,0.9111111111111111,0.8032603285216525,0.29712577645144467,0.8789198606271778,0.44907729856884887,0.9310602289696366,0.5783164306287991,0.7863364858138377,0.2644621372464442,0.7648705823792933,0.2473779219829253,0.770657043305127,0.2550482203609521,0.5,0.08888888888888889
19,41,19,val,210,14,0.9333333333333333,0.854774052478134,0.3334382110713554,0.9063411078717202,0.41002123064262086,0.8997813411078717,0.3593229419010937,0.8533163265306122,0.3198606673949443,0.8163265306122449,0.27664633542890504,0.8299927113702624,0.2971792178293639,0.5,0.06666666666666667
19,41,19,test,315,28,0.9111111111111111,0.8032603285216525,0.29712577645144467,0.8789198606271778,0.44907729856884887,0.9310602289696366,0.5783164306287991,0.7863364858138377,0.2644621372464442,0.7648705823792933,0.2473779219829253,0.770657043305127,0.2550482203609521,0.5,0.08888888888888889
20,24,0,val,210,30,0.8571428571428571,0.8737962962962963,0.5039543277690304,0.9327777777777778,0.6163774915499771,0.9557407407407407,0.8087003424948118,0.8781481481481481,0.5154399039394975,0.8483333333333333,0.45666666666666667,0.8361111111111111,0.47774158605961947,0.5,0.14285714285714285
20,24,0,test,315,45,0.8571428571428571,0.8418106995884774,0.4443497960306611,0.9015637860082304,0.5310966083258122,0.924074074074074,0.5627330106218027,0.8432921810699587,0.44602789594643305,0.8211934156378601,0.3961885375015146,0.7880658436213992,0.3825156353250837,0.5,0.14285714285714285
21,24,1,val,210,14,0.9333333333333333,0.8028425655976676,0.30351547206055113,0.8943148688046647,0.40819522668813035,0.9200072886297377,0.42696398757611576,0.7891763848396501,0.2819785239337747,0.7642128279883381,0.26123286995957806,0.8194241982507289,0.29640311637227423,0.5,0.06666666666666667
21,24,1,test,315,29,0.9079365079365079,0.8216783216783218,0.32265206475626684,0.8835302628406078,0.4994489802394367,0.9286231010368942,0.5904552455433355,0.7979864962623583,0.284620771690936,0.7778514588859415,0.25437251877537725,0.8087774294670846,0.27642148092046603,0.5,0.09206349206349207
22,24,2,val,210,60,0.7142857142857143,0.9418333333333333,0.8546705615530432,0.9141111111111111,0.7686747016385485,0.914,0.739115060823886,0.947,0.8849740834477473,0.9419444444444444,0.836951424179685,0.9336666666666668,0.865518766244942,0.5,0.2857142857142857
22,24,2,test,315,86,0.726984126984127,0.9177414440946481,0.8227258290364827,0.9004773027317966,0.6926009333254702,0.8801157713009038,0.6228816621466038,0.9266273992078805,0.8645425299005873,0.9193916929013912,0.8046211683651388,0.9093632578450289,0.8349944763044136,0.5,0.273015873015873
23,24,3,val,210,20,0.9047619047619048,0.8952631578947368,0.4492167606132965,0.9363157894736843,0.5596131431693778,0.9446052631578947,0.533829156564956,0.8598684210526315,0.3954956350711188,0.8331578947368421,0.3873761423761424,0.8211842105263157,0.3867094983651669,0.5,0.09523809523809523
23,24,3,test,315,35,0.8888888888888888,0.855,0.3856250890916205,0.9193877551020407,0.6067635593274616,0.9401530612244897,0.5527951487489065,0.8094897959183673,0.3274789292994826,0.7927551020408165,0.302226273749964,0.7735714285714286,0.28995987604851703,0.5,0.1111111111111111
24,24,4,val,210,29,0.861904761904762,0.8738807391884168,0.46853150010374434,0.9228424461802248,0.6473439822250903,0.9042674795199085,0.5399394419123724,0.8771194513240618,0.4809827313194189,0.8242522385216232,0.3680202597529228,0.8390169556105925,0.4083683110282279,0.5,0.1380952380952381
24,24,4,test,315,46,0.8539682539682539,0.8386132212704057,0.42490577353176434,0.8939712299983837,0.5449951840828355,0.9233473411992889,0.6270046625003974,0.839098108938096,0.43490736026842236,0.7966300307095523,0.3592403158987234,0.7972361402941652,0.37528208186846534,0.5,0.14603174603174604
25,24,5,val,210,31,0.8523809523809524,0.9268336637231933,0.738638912719418,0.9329608938547487,0.6911850916805076,0.9455757794197153,0.7471966968669886,0.9248513245629842,0.7192632342635401,0.9064696341683186,0.6349048286916449,0.9134979275545144,0.6751035904534534,0.5,0.14761904761904762
25,24,5,test,315,45,0.8571428571428571,0.8968724279835391,0.7054361496226796,0.9234567901234568,0.6779629703430324,0.9665432098765433,0.8041747411214109,0.8962551440329218,0.6650803660034832,0.8880246913580245,0.6286284208513178,0.8911111111111111,0.6475844110573911,0.5,0.14285714285714285
26,24,6,val,210,33,0.8428571428571429,0.9074644752610854,0.6093797761306123,0.9344290361239515,0.6965101545339936,0.9452148604690978,0.7636902688047383,0.9287793186098271,0.7114716174490812,0.8671460366375621,0.5360660500774668,0.9144838212634823,0.6271490646883577,0.5,0.15714285714285714
