design_id,n_channels,noise_scale,n_scenarios_common,B_star,B_star_support,B_dynamic,B_dynamic_support,differ
43,16,2.0,524,0.0,408,0.0,371,True
44,16,2.0,524,0.0024509803921568627,408,0.0026954177897574125,371,True
45,16,2.0,524,0.0,408,0.0,371,True
46,16,2.0,524,0.0,408,0.0,371,True
47,16,2.0,524,0.0,408,0.0,371,True
48,16,2.0,524,0.061274509803921566,408,0.0673854447439353,371,True
49,16,2.0,524,0.0,408,0.0,371,True
50,16,2.0,524,0.0,408,0.0,371,True
51,16,2.0,524,0.0,408,0.0,371,True
52,16,2.0,524,0.0,408,0.0,371,True
53,16,2.0,524,0.0,408,0.0,371,True
54,16,2.0,524,0.0,408,0.0,371,True
55,16,2.0,524,0.0,408,0.0,371,True
56,16,2.0,524,0.0,408,0.0,371,True
57,16,2.0,524,0.0,408,0.0,371,True
58,16,2.0,524,0.0,408,0.0,371,True
59,16,2.0,524,0.061274509803921566,408,0.0673854447439353,371,True
60,10,2.0,524,0.0024509803921568627,408,0.0026954177897574125,371,True
61,10,2.0,524,0.0024509803921568627,408,0.0026954177897574125,371,True
62,10,2.0,524,0.0,408,0.0,371,True
63,10,2.0,524,0.0,408,0.0,371,True
64,10,2.0,524,0.061274509803921566,408,0.0673854447439353,371,True
65,10,2.0,524,0.0,408,0.0,371,True
66,10,2.0,524,0.0,408,0.0,371,True
67,10,2.0,524,0.0024509803921568627,408,0.0026954177897574125,371,True
68,10,2.0,524,0.0,408,0.0,371,True
69,10,2.0,524,0.125,408,0.05121293800539083,371,True
70,10,2.0,524,0.0,408,0.0,371,True
71,10,2.0,524,0.061274509803921566,408,0.0673854447439353,371,True
72,10,2.0,524,0.0,408,0.0,371,True
73,10,2.0,524,0.0024509803921568627,408,0.0026954177897574125,371,True
74,10,2.0,524,0.0,408,0.0,371,True
75,10,2.0,524,0.061274509803921566,408,0.0673854447439353,371,True
76,10,2.0,524,0.061274509803921566,408,0.0673854447439353,371,True
77,10,2.0,524,0.0,408,0.0,371,True
78,10,2.0,524,0.01715686274509804,408,0.0,371,True
79,10,2.0,524,0.061274509803921566,408,0.0673854447439353,371,True
80,6,2.0,524,0.0,408,0.0,371,True
81,6,2.0,524,0.0,408,0.0,371,True
82,6,2.0,524,0.061274509803921566,408,0.0673854447439353,371,True
83,6,2.0,524,0.061274509803921566,408,0.0673854447439353,371,True
84,6,2.0,524,0.061274509803921566,408,0.0673854447439353,371,True
85,6,2.0,524,0.20098039215686275,408,0.1347708894878706,371,True
86,6,2.0,524,0.061274509803921566,408,0.0673854447439353,371,True
87,6,2.0,524,0.15931372549019607,408,0.12668463611859837,371,True
88,6,2.0,524,0.01715686274509804,408,0.0,371,True
89,6,2.0,524,0.1642156862745098,408,0.12668463611859837,371,True
90,6,2.0,524,0.061274509803921566,408,0.0673854447439353,371,True
91,6,2.0,524,0.18382352941176472,408,0.12668463611859837,371,True
92,6,2.0,524,0.061274509803921566,408,0.0673854447439353,371,True
93,6,2.0,524,0.2107843137254902,408,0.14555256064690028,371,True
94,6,2.0,524,0.18382352941176472,408,0.12668463611859837,371,True
95,6,2.0,524,0.14215686274509803,408,0.12668463611859837,371,True
96,6,2.0,524,0.4485294117647059,408,0.39622641509433965,371,True
97,6,2.0,524,0.0,408,0.0,371,True
98,6,2.0,524,0.18382352941176472,408,0.12668463611859837,371,True
99,6,2.0,524,0.0024509803921568627,408,0.0026954177897574125,371,True
100,3,2.0,524,0.3897058823529412,408,0.3288409703504043,371,True
101,3,2.0,524,0.3284313725490196,408,0.261455525606469,371,True
102,3,2.0,524,0.061274509803921566,408,0.0673854447439353,371,True
103,3,2.0,524,0.0024509803921568627,408,0.0026954177897574125,371,True
104,3,2.0,524,0.18627450980392157,408,0.12668463611859837,371,True
105,3,2.0,524,0.0024509803921568627,408,0.0026954177897574125,371,True
106,3,2.0,524,0.20098039215686275,408,0.12668463611859837,371,True
107,3,2.0,524,0.3284313725490196,408,0.261455525606469,371,True
