start_h,dur_h,strength,n_sensors,rmse,mae,bias,maxerr,spearman,curve
1,6,1000.0,5,23.2406732627288,20.465336919169285,-20.465336919169285,37.69161810847156,0.9411239481143202,5.2;34.9;49.2;52.3;82.1;82.5
2,1,10000.0,10,23.244439994881528,16.15942028985508,-12.522336769759455,46.845360824742265,0.9240616554505461,5.2;5.2;82.9;85.5;85.9;89.2
2,6,100.0,20,23.258879311322406,15.863962348722543,-11.892947855968927,46.845360824742265,0.9240616554505461,5.2;5.2;83.6;85.3;88.1;90.3
2,2,1000.0,10,23.27320508841834,16.826161661437318,-13.782982220230089,46.845360824742265,0.9240616554505461,5.2;5.2;81.1;83.8;84.3;86.7
2,2,100.0,20,23.291546077770025,16.202375616315553,-12.329971612132079,46.845360824742265,0.9240616554505461,5.2;5.2;83.6;84.9;87.2;89.0
2,1,1000.0,10,23.35456897264435,17.21649484536082,-14.128492454803528,46.845360824742265,0.9240616554505461,5.2;5.2;81.3;83.5;84.0;85.1
1,2,1000.0,5,23.36640143041785,20.808979530853133,-20.808979530853133,37.75885253249667,0.9411239481143202,5.2;34.9;49.3;52.2;81.2;81.3
1,1,1000.0,5,23.377041448401624,20.82205289108024,-20.82205289108024,37.78126400717169,0.9411239481143202,5.2;34.9;49.3;52.2;81.2;81.3
2,1,100.0,20,23.383114835460272,16.69356043627671,-12.608247422680416,46.845360824742265,0.9240616554505461,5.2;5.2;84.3;84.8;86.7;87.3
1,1,1000.0,40,23.6311248016164,18.52465262214251,8.57619901389509,42.722097714029545,0.3946648814672956,5.2;94.7;95.7;95.1;95.1;94.7
0,1,100.0,5,23.741111314578728,21.658747945614824,-21.658747945614824,35.349619004930524,0.9548637106322311,28.6;40.3;45.4;54.7;65.0;65.0
1,2,1000.0,40,23.84982926018378,19.133497684147585,9.185044075900164,42.722097714029545,0.5768179036829705,5.2;94.7;96.3;96.1;96.0;95.9
1,1,10000.0,40,23.935270091131184,19.098012849245453,9.149559240998032,43.11429852084265,0.5768179036829705,5.2;95.1;96.2;95.9;95.9;95.7
1,6,1000.0,40,23.94651858131615,19.54063947407736,9.592185865829938,42.722097714029545,0.9411239481143202,5.2;94.7;96.2;96.7;96.9;96.9
2,1,1000.0,20,24.176387069798075,17.693485731361104,-7.870088151800405,46.845360824742265,0.9240616554505461,5.2;5.2;91.7;92.4;93.4;94.0
2,2,100.0,40,24.180943880938237,16.89601075750783,-8.667563125653679,46.845360824742265,0.5544369932703277,5.2;5.2;92.4;92.3;91.4;90.6
2,2,1000.0,20,24.192703396169286,17.82235171074255,-7.741222172418962,46.845360824742265,0.9240616554505461,5.2;5.2;91.7;92.3;93.6;94.7
2,1,100.0,40,24.198180012102902,16.890781413416985,-9.104586881816841,46.845360824742265,0.5544369932703277,5.2;5.2;92.5;92.3;90.6;88.7
1,2,10000.0,40,24.223799478454286,19.8600029881966,9.911549379949177,43.11429852084265,0.8932596002688613,5.2;95.1;96.9;96.9;97.2;97.2
1,6,10000.0,40,24.250906768946624,19.987001344688455,10.03854773644103,43.11429852084265,0.9548637106322311,5.2;95.1;96.8;97.2;97.5;97.5
2,6,100.0,40,24.267040749859632,17.8298222023009,-7.7337516808606095,46.845360824742265,0.9379580992210835,5.2;5.2;92.4;93.2;93.2;93.4
2,6,1000.0,20,24.314161650153697,18.47228447631852,-7.091289406842989,46.845360824742265,0.9240616554505461,5.2;5.2;91.7;93.2;94.7;96.6
2,1,10000.0,20,24.457780244460533,18.709472583295955,-6.854101299865555,46.845360824742265,0.9240616554505461,5.2;5.2;92.6;93.4;94.8;96.9
2,2,10000.0,20,24.476201214586155,18.843941431346156,-6.719632451815353,46.845360824742265,0.9240616554505461,5.2;5.2;92.5;93.7;95.0;97.2
2,6,10000.0,20,24.513089016217027,19.008292245629736,-6.555281637531775,46.845360824742265,0.9240616554505461,5.2;5.2;92.5;94.0;95.4;97.5
0,1,1000.0,20,24.82924688381427,18.360675332436852,18.360675332436852,41.591214701927385,0.9411239481143202,76.6;91.2;92.1;92.6;93.2;93.5
2,1,1000.0,40,24.953908070022397,19.460256984909584,-6.103316898251926,46.845360824742265,0.5544369932703277,5.2;5.2;95.7;95.6;95.5;95.3
2,2,1000.0,40,24.975738575423453,19.64515165097861,-5.918422232182898,46.845360824742265,0.9240616554505461,5.2;5.2;95.5;95.8;95.9;96.0
2,6,1000.0,40,25.060549558644762,19.9831913939937,-5.58038248916781,46.845360824742265,0.9240616554505461,5.2;5.2;95.5;96.2;96.6;96.9
2,6,100.0,10,25.13543499285072,20.853802480203196,-20.853802480203196,46.845360824742265,0.9240616554505461,5.2;5.2;68.5;72.4;74.1;78.5
0,1,10000.0,20,25.168417618650086,19.27954579411323,19.27954579411323,41.55759748991484,0.9411239481143202,76.6;91.8;92.6;93.7;94.2;95.9
2,1,10000.0,40,25.182540781507768,20.14567458538769,-5.417899297773817,46.845360824742265,0.9240616554505461,5.2;5.2;96.2;96.4;96.6;96.9
2,2,10000.0,40,25.19462831009147,20.242790975646173,-5.320782907515337,46.845360824742265,0.9240616554505461,5.2;5.2;96.1;96.6;96.9;97.2
2,6,10000.0,40,25.23274631266177,20.37912744658596,-5.1844464365755485,46.845360824742265,0.9240616554505461,5.2;5.2;96.1;96.8;97.2;97.5
2,2,100.0,10,25.549999323607352,21.59338114447931,-21.59338114447931,46.845360824742265,0.9240616554505461,5.2;5.2;68.5;72.2;72.9;75.6
2,1,100.0,92,25.647321807179377,20.491184819961134,-5.072389063200376,46.845360824742265,0.5544369932703277,5.2;5.2;99.0;98.5;96.8;94.0
1,1,100.0,92,25.682400739954765,20.56596444046015,10.617510832212727,46.969072164948415,0.0,5.2;99.0;99.0;97.6;97.3;94.7
0,2,1000.0,20,25.78949328040119,20.22269535335422,20.22269535335422,41.591214701927385,0.9411239481143202,76.6;92.8;94.6;95.0;95.4;96.1
2,1,100.0,10,25.819232066567096,21.907141789929778,-21.907141789929778,46.845360824742265,0.9240616554505461,5.2;5.2;69.4;72.0;71.9;73.9
2,2,100.0,92,25.82322666161199,21.215822501120556,-4.347751382040954,46.845360824742265,0.5544369932703277,5.2;5.2;99.0;98.8;98.1;96.7
0,6,1000.0,20,25.854971601272315,20.54019124458386,20.54019124458386,41.591214701927385,0.9411239481143202,76.6;92.8;94.5;95.4;96.0;97.0
0,2,10000.0,20,25.856479271946466,20.564470342148486,20.564470342148486,41.55759748991484,0.9411239481143202,76.6;92.7;94.6;95.5;95.9;97.2
0,6,10000.0,20,25.87526721716758,20.715747796204962,20.715747796204962,41.55759748991484,0.9411239481143202,76.6;92.7;94.4;95.8;96.2;97.6
2,1,1000.0,92,25.904753601030226,21.494098311668882,-4.069475571492629,46.845360824742265,0.5544369932703277,5.2;5.2;99.0;98.8;98.6;98.0
1,2,100.0,92,25.91883441273452,21.430673838338535,11.48222023009111,46.969072164948415,0.0,5.2;99.0;99.0;98.9;98.7;97.3
1,1,1000.0,92,25.940931929682158,21.509113999701146,11.560660391453723,46.969072164948415,0.0,5.2;99.0;99.0;99.0;98.4;97.9
2,2,1000.0,92,25.958459681988003,21.658449125952462,-3.9051247572090495,46.845360824742265,0.5544369932703277,5.2;5.2;99.0;99.0;98.8;98.6
2,6,100.0,92,25.96783063942651,21.686463469296257,-3.8771104138652555,46.845360824742265,0.6253053994807223,5.2;5.2;99.0;99.0;98.8;98.7
2,1,10000.0,92,25.9926147489775,21.759300761990108,-3.8042731211713985,46.845360824742265,0.7214084193623483,5.2;5.2;99.0;99.0;99.0;99.0
2,2,10000.0,92,25.99325878472375,21.7611683848797,-3.802405498281812,46.845360824742265,0.8798826901281199,5.2;5.2;99.0;99.0;99.0;99.0
2,6,10000.0,92,25.99325878472375,21.7611683848797,-3.802405498281812,46.845360824742265,0.8798826901281199,5.2;5.2;99.0;99.0;99.0;99.0
