noise_scale,design_id,design_size,B_star,B_star_support,B_dynamic,B_dynamic_support
1.0,75,10,0.0,325,0.0,325
1.0,76,10,0.0,325,0.0,325
1.0,77,10,0.0,325,0.0,325
1.0,78,10,0.0,325,0.0,325
1.0,79,10,0.0,325,0.0,325
1.0,80,6,0.0,325,0.0,325
1.0,81,6,0.0,325,0.0,325
1.0,82,6,0.0,325,0.0,325
1.0,83,6,0.0,325,0.0,325
1.0,84,6,0.0,325,0.0,325
1.0,85,6,0.13846153846153847,325,0.13846153846153847,325
1.0,86,6,0.06153846153846154,325,0.06153846153846154,325
1.0,87,6,0.10153846153846154,325,0.10153846153846154,325
1.0,88,6,0.0,325,0.0,325
1.0,89,6,0.10153846153846154,325,0.10153846153846154,325
1.0,90,6,0.0,325,0.0,325
1.0,91,6,0.08,325,0.08,325
1.0,92,6,0.06153846153846154,325,0.06153846153846154,325
1.0,93,6,0.06153846153846154,325,0.06153846153846154,325
1.0,94,6,0.08,325,0.08,325
1.0,95,6,0.08,325,0.08,325
1.0,96,6,0.3076923076923077,325,0.3076923076923077,325
1.0,97,6,0.0,325,0.0,325
1.0,98,6,0.08,325,0.08,325
1.0,99,6,0.0,325,0.0,325
1.0,100,3,0.28923076923076924,325,0.28923076923076924,325
1.0,101,3,0.28,325,0.28,325
1.0,102,3,0.06153846153846154,325,0.06153846153846154,325
1.0,103,3,0.0,325,0.0,325
1.0,104,3,0.12615384615384614,325,0.12615384615384614,325
1.0,105,3,0.0,325,0.0,325
1.0,106,3,0.12615384615384614,325,0.12615384615384614,325
1.0,107,3,0.28307692307692306,325,0.28307692307692306,325
1.0,108,3,0.12615384615384614,325,0.12615384615384614,325
1.0,109,3,0.0,325,0.0,325
1.0,110,3,0.3076923076923077,325,0.3076923076923077,325
1.0,111,3,0.06153846153846154,325,0.06153846153846154,325
1.0,112,3,0.06153846153846154,325,0.06153846153846154,325
1.0,113,3,0.0,325,0.0,325
1.0,114,3,0.12615384615384614,325,0.12615384615384614,325
1.0,115,3,0.08,325,0.08,325
1.0,116,3,0.0,325,0.0,325
1.0,117,3,0.08,325,0.08,325
1.0,118,3,0.0,325,0.0,325
1.0,119,3,0.10153846153846154,325,0.10153846153846154,325
2.0,0,41,0.0,325,0.0,298
2.0,1,41,0.0,325,0.0,298
2.0,2,41,0.0,325,0.0,298
2.0,3,41,0.0,325,0.0,298
2.0,4,41,0.0,325,0.0,298
2.0,5,41,0.0,325,0.0,298
2.0,6,41,0.0,325,0.0,298
2.0,7,41,0.0,325,0.0,298
2.0,8,41,0.0,325,0.0,298
2.0,9,41,0.0,325,0.0,298
2.0,10,41,0.0,325,0.0,298
2.0,11,41,0.0,325,0.0,298
2.0,12,41,0.0,325,0.0,298
2.0,13,41,0.0,325,0.0,298
2.0,14,41,0.0,325,0.0,298
2.0,15,41,0.0,325,0.0,298
2.0,16,41,0.0,325,0.0,298
2.0,17,41,0.0,325,0.0,298
2.0,18,41,0.0,325,0.0,298
2.0,19,41,0.0,325,0.0,298
2.0,20,24,0.0,325,0.0,298
2.0,21,24,0.0,325,0.0,298
2.0,22,24,0.0,325,0.0,298
2.0,23,24,0.0,325,0.0,298
2.0,24,24,0.0,325,0.0,298
2.0,25,24,0.0,325,0.0,298
2.0,26,24,0.0,325,0.0,298
2.0,27,24,0.0,325,0.0,298
2.0,28,24,0.0,325,0.0,298
2.0,29,24,0.0,325,0.0,298
2.0,30,24,0.0,325,0.0,298
2.0,31,24,0.0,325,0.0,298
2.0,32,24,0.0,325,0.0,298
2.0,33,24,0.0,325,0.0,298
2.0,34,24,0.0,325,0.0,298
2.0,35,24,0.0,325,0.0,298
2.0,36,24,0.0,325,0.0,298
2.0,37,24,0.0,325,0.0,298
2.0,38,24,0.0,325,0.0,298
2.0,39,24,0.06153846153846154,325,0.06711409395973154,298
2.0,40,16,0.0,325,0.0,298
2.0,41,16,0.06153846153846154,325,0.06711409395973154,298
2.0,42,16,0.0,325,0.0,298
2.0,43,16,0.0,325,0.0,298
2.0,44,16,0.0,325,0.0,298
2.0,45,16,0.0,325,0.0,298
2.0,46,16,0.0,325,0.0,298
2.0,47,16,0.0,325,0.0,298
2.0,48,16,0.06153846153846154,325,0.06711409395973154,298
2.0,49,16,0.0,325,0.0,298
2.0,50,16,0.0,325,0.0,298
2.0,51,16,0.0,325,0.0,298
2.0,52,16,0.0,325,0.0,298
2.0,53,16,0.0,325,0.0,298
2.0,54,16,0.0,325,0.0,298
2.0,55,16,0.0,325,0.0,298
2.0,56,16,0.0,325,0.0,298
2.0,57,16,0.0,325,0.0,298
2.0,58,16,0.0,325,0.0,298
2.0,59,16,0.06153846153846154,325,0.06711409395973154,298
2.0,60,10,0.0,325,0.0,298
2.0,61,10,0.0,325,0.0,298
2.0,62,10,0.0,325,0.0,298
2.0,63,10,0.0,325,0.0,298
2.0,64,10,0.06153846153846154,325,0.06711409395973154,298
2.0,65,10,0.0,325,0.0,298
2.0,66,10,0.0,325,0.0,298
2.0,67,10,0.0,325,0.0,298
2.0,68,10,0.0,325,0.0,298
2.0,69,10,0.11076923076923077,325,0.050335570469798654,298
2.0,70,10,0.0,325,0.0,298
2.0,71,10,0.06153846153846154,325,0.06711409395973154,298
2.0,72,10,0.0,325,0.0,298
2.0,73,10,0.0,325,0.0,298
2.0,74,10,0.0,325,0.0,298
2.0,75,10,0.06153846153846154,325,0.06711409395973154,298
2.0,76,10,0.06153846153846154,325,0.06711409395973154,298
2.0,77,10,0.0,325,0.0,298
2.0,78,10,0.021538461538461538,325,0.0,298
2.0,79,10,0.06153846153846154,325,0.06711409395973154,298
2.0,80,6,0.0,325,0.0,298
2.0,81,6,0.0,325,0.0,298
2.0,82,6,0.06153846153846154,325,0.06711409395973154,298
2.0,83,6,0.06153846153846154,325,0.06711409395973154,298
