budget,noise,demand,seed,method,false_forgetting_rate,recall,precision,f1,false_positives,battledim_score_eur
4,0.0,0.5,2,E_optimal_rank_reduced,0.04347826086956519,0.9565217391304348,0.4888888888888889,0.6470588235294117,23,124118.98
4,0.0,0.5,2,goal_oriented_oed,0.08695652173913049,0.9130434782608695,0.4666666666666667,0.6176470588235294,24,104455.7
4,0.0,0.5,2,topological_dispersion,0.04347826086956519,0.9565217391304348,0.4782608695652174,0.6376811594202898,24,85998.96
4,0.0,0.5,2,centrality,0.04347826086956519,0.9565217391304348,0.5789473684210527,0.721311475409836,16,12847.52
4,0.0,0.5,3,FO,0.04347826086956519,0.9565217391304348,0.5116279069767442,0.6666666666666667,21,71068.58
4,0.0,0.5,3,D_optimal_bayesian,0.04347826086956519,0.9565217391304348,0.46808510638297873,0.6285714285714286,25,144783.82
4,0.0,0.5,3,A_optimal_bayesian,0.04347826086956519,0.9565217391304348,0.46808510638297873,0.6285714285714286,25,144783.82
4,0.0,0.5,3,E_optimal_observable_subspace,0.04347826086956519,0.9565217391304348,0.4782608695652174,0.6376811594202898,24,100413.87
4,0.0,0.5,3,bayesian_information_gain,0.04347826086956519,0.9565217391304348,0.46808510638297873,0.6285714285714286,25,144783.82
4,0.0,0.5,3,D_optimal_rank_reduced,0.08695652173913049,0.9130434782608695,0.45652173913043476,0.608695652173913,25,112342.72
4,0.0,0.5,3,A_optimal_rank_reduced,0.08695652173913049,0.9130434782608695,0.4666666666666667,0.6176470588235294,24,34781.04
4,0.0,0.5,3,E_optimal_rank_reduced,0.04347826086956519,0.9565217391304348,0.4888888888888889,0.6470588235294117,23,133158.67
4,0.0,0.5,3,goal_oriented_oed,0.04347826086956519,0.9565217391304348,0.46808510638297873,0.6285714285714286,25,119666.35
4,0.0,0.5,3,topological_dispersion,0.08695652173913049,0.9130434782608695,0.45652173913043476,0.608695652173913,25,104950.75
4,0.0,0.5,3,centrality,0.08695652173913049,0.9130434782608695,0.5121951219512195,0.6562499999999999,20,15668.01
4,0.0,0.5,4,FO,0.08695652173913049,0.9130434782608695,0.5,0.6461538461538461,21,31461.97
4,0.0,0.5,4,D_optimal_bayesian,0.04347826086956519,0.9565217391304348,0.4782608695652174,0.6376811594202898,24,166392.58
4,0.0,0.5,4,A_optimal_bayesian,0.04347826086956519,0.9565217391304348,0.4782608695652174,0.6376811594202898,24,166392.58
4,0.0,0.5,4,E_optimal_observable_subspace,0.04347826086956519,0.9565217391304348,0.4782608695652174,0.6376811594202898,24,101289.74
4,0.0,0.5,4,bayesian_information_gain,0.04347826086956519,0.9565217391304348,0.4782608695652174,0.6376811594202898,24,166392.58
4,0.0,0.5,4,D_optimal_rank_reduced,0.08695652173913049,0.9130434782608695,0.45652173913043476,0.608695652173913,25,66883.31
4,0.0,0.5,4,A_optimal_rank_reduced,0.08695652173913049,0.9130434782608695,0.4666666666666667,0.6176470588235294,24,54803.9
4,0.0,0.5,4,E_optimal_rank_reduced,0.04347826086956519,0.9565217391304348,0.4888888888888889,0.6470588235294117,23,86188.57
4,0.0,0.5,4,goal_oriented_oed,0.08695652173913049,0.9130434782608695,0.44680851063829785,0.6,26,89517.55
