budget,method,recall,false_forgetting_rate,precision,f1,true_positives,false_positives,false_negatives,delay_mean_h,delay_median_h,localisation_mean_m,localisation_median_m,battledim_score_eur,worst_per_leak_recall,compute_time_s
6,bayesian_information_gain,0.9130434782608695,0.08695652173913049,0.4772727272727273,0.6268656716417911,21,23,2,168.3968253968254,101.41666666666667,1731.295140476191,1483.6390999999999,148553.54,0.0,0.031
6,D_optimal_rank_reduced,0.9130434782608695,0.08695652173913049,0.4666666666666667,0.6176470588235294,21,24,2,184.2579365079365,165.66666666666666,1933.4588761904768,1948.7252500000002,79440.17,0.0,0.032
6,A_optimal_rank_reduced,0.9130434782608695,0.08695652173913049,0.45652173913043476,0.608695652173913,21,25,2,190.4880952380952,136.16666666666666,1470.7080833333334,1434.20435,113874.89,0.0,0.031
6,E_optimal_rank_reduced,0.9130434782608695,0.08695652173913049,0.4666666666666667,0.6176470588235294,21,24,2,161.87698412698415,101.41666666666667,1618.9246190476192,1504.1602500000004,143567.04,0.0,0.03
6,goal_oriented_oed,0.9130434782608695,0.08695652173913049,0.45652173913043476,0.608695652173913,21,25,2,155.70238095238096,99.08333333333333,1217.7452904761906,1158.4045000000003,139310.99,0.0,0.031
6,topological_dispersion,0.9130434782608695,0.08695652173913049,0.45652173913043476,0.608695652173913,21,25,2,173.48412698412702,123.16666666666667,1796.7425428571435,1798.6328500000006,136754.65,0.0,0.031
6,centrality,0.9130434782608695,0.08695652173913049,0.5121951219512195,0.6562499999999999,21,20,2,299.9007936507936,159.33333333333334,1059.7418357142856,888.8717,62848.88,0.0,0.033
8,FO,0.9130434782608695,0.08695652173913049,0.5121951219512195,0.6562499999999999,21,20,2,301.3849206349206,143.08333333333334,1222.5827261904763,1273.0305000000005,80127.49,0.0,0.029
8,D_optimal_bayesian,0.9130434782608695,0.08695652173913049,0.45652173913043476,0.608695652173913,21,25,2,155.015873015873,73.58333333333333,1631.3956000000003,1483.6390999999999,161263.5,0.0,0.032
8,A_optimal_bayesian,0.9130434782608695,0.08695652173913049,0.45652173913043476,0.608695652173913,21,25,2,155.015873015873,73.58333333333333,1631.3956000000003,1483.6390999999999,161263.5,0.0,0.032
8,E_optimal_observable_subspace,0.9130434782608695,0.08695652173913049,0.45652173913043476,0.608695652173913,21,25,2,155.015873015873,73.58333333333333,1631.3956000000003,1483.6390999999999,161263.5,0.0,0.032
8,bayesian_information_gain,0.9130434782608695,0.08695652173913049,0.45652173913043476,0.608695652173913,21,25,2,155.015873015873,73.58333333333333,1631.3956000000003,1483.6390999999999,161263.5,0.0,0.032
8,D_optimal_rank_reduced,0.9130434782608695,0.08695652173913049,0.4666666666666667,0.6176470588235294,21,24,2,172.26190476190476,101.41666666666667,1847.8177214285713,1948.7252500000002,157322.15,0.0,0.032
8,A_optimal_rank_reduced,0.9130434782608695,0.08695652173913049,0.44680851063829785,0.6,21,26,2,178.03174603174605,122.83333333333333,1543.418361904762,1502.7280999999998,72604.13,0.0,0.032
8,E_optimal_rank_reduced,0.9130434782608695,0.08695652173913049,0.45652173913043476,0.608695652173913,21,25,2,155.74999999999994,110.66666666666667,1498.8495785714285,1483.6390999999999,149909.24,0.0,0.032
8,goal_oriented_oed,0.9130434782608695,0.08695652173913049,0.44680851063829785,0.6,21,26,2,150.6468253968254,99.08333333333333,1409.233457142857,1373.3191,188416.11,0.0,0.033
8,topological_dispersion,0.9130434782608695,0.08695652173913049,0.45652173913043476,0.608695652173913,21,25,2,177.28174603174605,123.16666666666667,1610.8034119047622,1563.0619500000003,97609.9,0.0,0.033
8,centrality,0.9130434782608695,0.08695652173913049,0.5,0.6461538461538461,21,21,2,266.35714285714283,141.91666666666666,1284.0088119047623,1209.28455,84820.3,0.0,0.03
10,FO,0.9130434782608695,0.08695652173913049,0.5121951219512195,0.6562499999999999,21,20,2,301.23809523809524,143.08333333333334,1221.23505952381,1318.2370500000004,70940.74,0.0,0.028
10,D_optimal_bayesian,0.9130434782608695,0.08695652173913049,0.44680851063829785,0.6,21,26,2,175.6388888888889,152.91666666666666,1813.1570142857142,1848.82415,111655.5,0.0,0.032
10,A_optimal_bayesian,0.9130434782608695,0.08695652173913049,0.45652173913043476,0.608695652173913,21,25,2,153.85714285714283,73.58333333333333,1525.3317452380954,1418.2859500000002,207026.98,0.0,0.032
10,E_optimal_observable_subspace,0.9130434782608695,0.08695652173913049,0.45652173913043476,0.608695652173913,21,25,2,153.85714285714283,73.58333333333333,1525.3317452380954,1418.2859500000002,207026.98,0.0,0.032
10,bayesian_information_gain,0.9130434782608695,0.08695652173913049,0.44680851063829785,0.6,21,26,2,175.6388888888889,152.91666666666666,1813.1570142857142,1848.82415,111655.5,0.0,0.032
10,D_optimal_rank_reduced,0.9130434782608695,0.08695652173913049,0.44680851063829785,0.6,21,26,2,173.5396825396825,154.08333333333334,1781.0256476190484,1798.6328500000006,87343.61,0.0,0.032
10,A_optimal_rank_reduced,0.9130434782608695,0.08695652173913049,0.44680851063829785,0.6,21,26,2,169.48809523809524,122.83333333333333,1606.0182761904766,1860.0354000000002,72663.58,0.0,0.032
10,E_optimal_rank_reduced,0.9130434782608695,0.08695652173913049,0.44680851063829785,0.6,21,26,2,167.3095238095238,117.41666666666667,1599.5479904761905,1504.3775500000002,146187.83,0.0,0.033
10,goal_oriented_oed,0.9130434782608695,0.08695652173913049,0.4375,0.5915492957746479,21,27,2,160.515873015873,112.16666666666667,1748.961573809524,1672.7355500000003,118461.6,0.0,0.033
10,topological_dispersion,0.9130434782608695,0.08695652173913049,0.44680851063829785,0.6,21,26,2,174.3968253968254,123.16666666666667,1614.3559071428574,1469.3974000000003,87726.96,0.0,0.033
10,centrality,0.9130434782608695,0.08695652173913049,0.5,0.6461538461538461,21,21,2,265.05952380952374,141.91666666666666,1462.7241333333336,1291.9095500000003,50192.47,0.0,0.029
12,FO,0.9130434782608695,0.08695652173913049,0.5121951219512195,0.6562499999999999,21,20,2,305.64285714285717,159.83333333333334,1369.8710571428574,1387.74395,19153.81,0.0,0.03
12,D_optimal_bayesian,0.9130434782608695,0.08695652173913049,0.44680851063829785,0.6,21,26,2,175.6388888888889,152.91666666666666,1950.8656595238094,1937.42305,124866.58,0.0,0.038
12,A_optimal_bayesian,0.9130434782608695,0.08695652173913049,0.4375,0.5915492957746479,21,27,2,147.7738095238095,67.66666666666667,1443.862578571429,1379.0107500000001,92926.94,0.0,0.036
12,E_optimal_observable_subspace,0.9130434782608695,0.08695652173913049,0.4375,0.5915492957746479,21,27,2,147.7738095238095,67.66666666666667,1443.862578571429,1379.0107500000001,92926.94,0.0,0.034
12,bayesian_information_gain,0.9130434782608695,0.08695652173913049,0.44680851063829785,0.6,21,26,2,175.6388888888889,152.91666666666666,1950.8656595238094,1937.42305,124866.58,0.0,0.034
12,D_optimal_rank_reduced,0.9130434782608695,0.08695652173913049,0.44680851063829785,0.6,21,26,2,173.07539682539678,148.66666666666666,1579.4822571428574,1589.9484999999995,100216.21,0.0,0.033
12,A_optimal_rank_reduced,0.9130434782608695,0.08695652173913049,0.4375,0.5915492957746479,21,27,2,152.7142857142857,113.5,1623.788640476191,1518.8321500000002,77514.52,0.0,0.034
12,E_optimal_rank_reduced,0.9130434782608695,0.08695652173913049,0.44680851063829785,0.6,21,26,2,165.70634920634916,117.41666666666667,1685.604511904762,1617.10735,138472.85,0.0,0.033
12,goal_oriented_oed,0.9130434782608695,0.08695652173913049,0.4375,0.5915492957746479,21,27,2,160.44444444444443,112.16666666666667,1538.122023809524,1482.1199000000001,148141.27,0.0,0.037
12,topological_dispersion,0.9130434782608695,0.08695652173913049,0.4375,0.5915492957746479,21,27,2,170.43253968253967,123.16666666666667,1552.362919047619,1469.3974000000003,100677.87,0.0,0.036
12,centrality,0.9130434782608695,0.08695652173913049,0.4772727272727273,0.6268656716417911,21,23,2,191.35714285714286,139.5,1350.452330952381,1291.8401999999999,68563.0,0.0,0.032
