budget,method,recall,false_forgetting_rate,n_events_detected,n_events,delay_mean_h,delay_median_h,localisation_mean_m,localisation_median_m,false_positives_mean,battledim_score_eur_mean,compute_time_s_mean
10,E_optimal_observable_subspace,1.0,0.0,14,14,170.51785714285714,101.0,1493.977842857143,1503.2541250000004,18.785714285714285,36260.487857142856,0.02328571428571429
10,bayesian_information_gain,1.0,0.0,14,14,172.10714285714283,87.70833333333334,1689.7703750000003,1798.6409250000002,18.642857142857142,36159.14,0.022714285714285715
10,D_optimal_rank_reduced,1.0,0.0,14,14,216.18452380952382,112.375,1677.1164285714287,1826.1298500000003,16.0,36556.37785714285,0.021142857142857147
10,A_optimal_rank_reduced,1.0,0.0,14,14,193.6428571428571,139.08333333333331,1690.2000535714285,1798.6409250000002,18.428571428571427,43259.78928571429,0.022357142857142857
10,E_optimal_rank_reduced,1.0,0.0,14,14,210.88095238095238,158.41666666666669,1687.0129821428575,1988.0388750000002,15.785714285714286,43998.53642857143,0.020428571428571428
10,goal_oriented_oed,1.0,0.0,14,14,169.29761904761907,78.54166666666667,1908.6900500000004,1966.3336500000003,18.357142857142858,29285.941428571434,0.022357142857142857
10,FO,0.9285714285714286,0.0714285714285714,13,14,368.81410256410254,166.16666666666666,1003.0413115384619,524.21295,15.142857142857142,379.73928571428553,0.0195
10,topological_dispersion,0.9285714285714286,0.0714285714285714,13,14,200.70512820512815,158.58333333333334,1742.572703846154,1859.88875,17.928571428571427,35375.86357142857,0.02242857142857143
10,centrality,0.9285714285714286,0.0714285714285714,13,14,349.10897435897436,250.25,1063.6982730769232,1082.3197999999998,14.785714285714286,5130.823571428571,0.018785714285714284
12,D_optimal_bayesian,1.0,0.0,14,14,161.6488095238095,86.95833333333334,1649.2597250000003,1569.8508750000003,19.857142857142858,38469.30285714286,0.023928571428571434
12,A_optimal_bayesian,1.0,0.0,14,14,172.13690476190476,101.0,1435.366710714286,1503.2541250000004,20.214285714285715,44100.32571428572,0.024785714285714293
12,E_optimal_observable_subspace,1.0,0.0,14,14,172.13690476190476,101.0,1435.366710714286,1503.2541250000004,20.214285714285715,44100.32571428572,0.025000000000000005
12,bayesian_information_gain,1.0,0.0,14,14,161.6488095238095,86.95833333333334,1649.2597250000003,1569.8508750000003,19.857142857142858,38469.30285714286,0.024571428571428577
12,D_optimal_rank_reduced,1.0,0.0,14,14,202.4107142857143,87.875,1656.5028107142857,1721.7810750000006,17.0,37476.55642857143,0.02264285714285714
12,A_optimal_rank_reduced,1.0,0.0,14,14,191.10714285714283,134.83333333333331,1618.367685714286,1798.6409250000002,19.5,41424.13857142858,0.02364285714285715
12,E_optimal_rank_reduced,1.0,0.0,14,14,219.79166666666669,158.41666666666669,1759.4660107142863,1865.0569250000003,16.714285714285715,45751.172857142854,0.021714285714285717
12,goal_oriented_oed,1.0,0.0,14,14,182.29166666666669,107.625,1782.562917857143,1629.47415,19.285714285714285,33372.91642857143,0.02371428571428572
12,topological_dispersion,1.0,0.0,14,14,201.422619047619,163.875,1816.699982142857,1870.9340000000002,18.857142857142858,33895.81857142857,0.02371428571428572
12,FO,0.9285714285714286,0.0714285714285714,13,14,367.9423076923077,166.16666666666666,1018.8813000000002,571.99535,16.285714285714285,1255.4400000000003,0.02107142857142857
12,centrality,0.9285714285714286,0.0714285714285714,13,14,357.60256410256414,250.25,1023.559103846154,1082.3197999999998,15.642857142857142,6425.825714285714,0.020285714285714285
